NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL10	n/a	257	1.2316824197769165	0.010479643	No	
row_1	LTBR	n/a	345	1.161550760269165	0.028815137	No	
row_2	CXCL11	n/a	465	1.0947208404541016	0.044082448	No	
row_3	CD9	n/a	498	1.0747861862182617	0.063687	No	
row_4	INHBE	n/a	612	1.017910122871399	0.07775526	No	
row_5	BAK1	n/a	840	0.9407063126564026	0.08408818	No	
row_6	IL9R	n/a	974	0.9063149690628052	0.094852045	No	
row_7	PTPN1	n/a	1524	0.8017301559448242	0.08090678	No	
row_8	HAX1	n/a	1787	0.7599854469299316	0.0817464	No	
row_9	ITGA4	n/a	1947	0.7399168610572815	0.08779107	No	
row_10	CXCL9	n/a	1993	0.7335338592529297	0.09991103	No	
row_11	MYD88	n/a	2393	0.6843388080596924	0.09179494	No	
row_12	CXCL13	n/a	3147	0.6046837568283081	0.06283787	No	
row_13	GRB2	n/a	3647	0.5587741136550903	0.046787646	No	
row_14	TGFB1	n/a	3839	0.5408762097358704	0.047138393	No	
row_15	DNTT	n/a	3855	0.5395939946174622	0.057038784	No	
row_16	REG1A	n/a	3932	0.534156858921051	0.06351255	No	
row_17	TNFRSF12A	n/a	4176	0.5158883929252625	0.060538027	No	
row_18	CCL7	n/a	4363	0.500954270362854	0.060367938	No	
row_19	ACVR1B	n/a	5303	0.4376057982444763	0.017973522	No	
row_20	STAT1	n/a	5544	0.42221686244010925	0.013301876	No	
row_21	PTPN2	n/a	5765	0.4074738025665283	0.009425512	No	
row_22	IL2RG	n/a	6020	0.3901318907737732	0.0033549964	No	
row_23	LTB	n/a	6203	0.37490320205688477	8.9912413E-4	No	
row_24	CSF2	n/a	6750	0.3346046209335327	-0.022160145	No	
row_25	IRF9	n/a	6928	0.320566862821579	-0.025423128	No	
row_26	STAT3	n/a	7162	0.30246102809906006	-0.03209232	No	
row_27	TYK2	n/a	7713	0.25645720958709717	-0.05692123	No	
row_28	IL1R2	n/a	8165	0.21764303743839264	-0.077135	No	
row_29	IL17RB	n/a	8645	0.17643876373767853	-0.09969041	No	
row_30	CD38	n/a	9479	0.1004939153790474	-0.14301312	No	
row_31	CD44	n/a	9515	0.09729018062353134	-0.14298505	No	
row_32	IRF1	n/a	9950	0.060463130474090576	-0.16539557	No	
row_33	CCR1	n/a	10080	0.04778965935111046	-0.17146458	No	
row_34	A2M	n/a	10269	0.02843419276177883	-0.18112783	No	
row_35	IL13RA1	n/a	10865	-0.03283962607383728	-0.21284601	No	
row_36	IL1B	n/a	10972	-0.04407418891787529	-0.21773751	No	
row_37	IL12RB1	n/a	11256	-0.0721738189458847	-0.23170045	No	
row_38	FAS	n/a	11403	-0.08849580585956573	-0.23788589	No	
row_39	CXCL1	n/a	11719	-0.12442726641893387	-0.252552	No	
row_40	TNF	n/a	11810	-0.13583381474018097	-0.25475067	No	
row_41	IL4R	n/a	11815	-0.13660357892513275	-0.25225532	No	
row_42	IFNGR2	n/a	11895	-0.1454003006219864	-0.25366554	No	
row_43	SOCS1	n/a	12057	-0.16389504075050354	-0.2591696	No	
row_44	OSMR	n/a	12099	-0.1682197004556656	-0.2580593	No	
row_45	IL18R1	n/a	12159	-0.1741747409105301	-0.25780997	No	
row_46	HMOX1	n/a	12329	-0.1934410035610199	-0.26316246	No	
row_47	CSF3R	n/a	12384	-0.1977597177028656	-0.26217276	No	
row_48	TNFRSF21	n/a	12556	-0.22202859818935394	-0.2670663	No	
row_49	EBI3	n/a	12725	-0.24137276411056519	-0.27141246	No	
row_50	STAT2	n/a	12799	-0.24923790991306305	-0.27043402	No	
row_51	PTPN11	n/a	13068	-0.28159353137016296	-0.2794218	No	
row_52	TLR2	n/a	13218	-0.30067065358161926	-0.2815566	No	
row_53	PDGFC	n/a	13361	-0.31622058153152466	-0.28300178	No	
row_54	PIK3R5	n/a	14031	-0.3960285782814026	-0.31153283	No	
row_55	PIM1	n/a	14124	-0.40936478972435	-0.30840793	No	
row_56	JUN	n/a	14316	-0.43364712595939636	-0.31018677	No	
row_57	IL10RB	n/a	14498	-0.45837274193763733	-0.31093052	No	
row_58	IL2RA	n/a	14676	-0.4835454821586609	-0.31095672	No	
row_59	CXCL3	n/a	15061	-0.5430618524551392	-0.32106254	No	
row_60	CRLF2	n/a	15276	-0.5747488737106323	-0.32129034	Yes	
row_61	TNFRSF1A	n/a	15417	-0.597430944442749	-0.3170418	Yes	
row_62	SOCS3	n/a	15470	-0.6060301661491394	-0.30783492	Yes	
row_63	STAM2	n/a	15646	-0.6325063705444336	-0.30479392	Yes	
row_64	ITGB3	n/a	16208	-0.735481321811676	-0.32070777	Yes	
row_65	CSF2RA	n/a	16216	-0.7377164363861084	-0.30643737	Yes	
row_66	IL7	n/a	16249	-0.7478005290031433	-0.29332682	Yes	
row_67	CSF2RB	n/a	16254	-0.7484230399131775	-0.27868062	Yes	
row_68	IL17RA	n/a	16258	-0.7486306428909302	-0.26397586	Yes	
row_69	IL6ST	n/a	16351	-0.7685251235961914	-0.25371796	Yes	
row_70	CD14	n/a	16420	-0.7821871638298035	-0.24188302	Yes	
row_71	MAP3K8	n/a	16542	-0.8047716021537781	-0.23248298	Yes	
row_72	IL6	n/a	16711	-0.84210205078125	-0.22489853	Yes	
row_73	TNFRSF1B	n/a	16994	-0.9108710885047913	-0.22215037	Yes	
row_74	IL1R1	n/a	17106	-0.9357182383537292	-0.20960565	Yes	
row_75	CNTFR	n/a	17235	-0.9692330956459045	-0.1973202	Yes	
row_76	CBL	n/a	17364	-1.010574221611023	-0.18421368	Yes	
row_77	IFNGR1	n/a	17518	-1.0602028369903564	-0.17148164	Yes	
row_78	IL15RA	n/a	17620	-1.0963964462280273	-0.15520178	Yes	
row_79	CSF1	n/a	17634	-1.1027019023895264	-0.13400914	Yes	
row_80	IL3RA	n/a	17706	-1.1264971494674683	-0.115499355	Yes	
row_81	CD36	n/a	17804	-1.1629035472869873	-0.09768104	Yes	
row_82	IFNAR1	n/a	17856	-1.187731146812439	-0.07686705	Yes	
row_83	PLA2G2A	n/a	17928	-1.2134891748428345	-0.056629583	Yes	
row_84	ACVRL1	n/a	18138	-1.3341026306152344	-0.04150446	Yes	
row_85	LEPR	n/a	18286	-1.4860740900039673	-0.019988105	Yes	
row_86	PF4	n/a	18293	-1.499523639678955	0.009466327	Yes	
