NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFRSF9	n/a	167	1.3393503427505493	0.0039756172	No	
row_1	MMP14	n/a	230	1.26233971118927	0.012943909	No	
row_2	CXCL10	n/a	257	1.2316824197769165	0.023582319	No	
row_3	CLEC5A	n/a	412	1.1196157932281494	0.026117664	No	
row_4	RIPK2	n/a	444	1.1019351482391357	0.035211846	No	
row_5	CXCL11	n/a	465	1.0947208404541016	0.04483743	No	
row_6	INHBA	n/a	529	1.0571807622909546	0.05174194	No	
row_7	OSM	n/a	658	0.9959449172019958	0.05448924	No	
row_8	ICOSLG	n/a	680	0.9878960847854614	0.06301399	No	
row_9	IL12B	n/a	941	0.9159117341041565	0.057752993	No	
row_10	IL18	n/a	1127	0.8765361309051514	0.056211267	No	
row_11	TIMP1	n/a	1181	0.8642465472221375	0.061773755	No	
row_12	ADRM1	n/a	1211	0.8578376173973083	0.06858704	No	
row_13	RASGRP1	n/a	1250	0.8493978977203369	0.07482509	No	
row_14	PLAUR	n/a	1522	0.8019720911979675	0.067846276	No	
row_15	CCL20	n/a	1589	0.7915040850639343	0.07198492	No	
row_16	OLR1	n/a	1938	0.7413776516914368	0.06019839	No	
row_17	CXCL9	n/a	1993	0.7335338592529297	0.064426124	No	
row_18	SERPINE1	n/a	2164	0.7119702100753784	0.06209383	No	
row_19	CCL22	n/a	2201	0.7073952555656433	0.06705077	No	
row_20	BST2	n/a	2221	0.7050303220748901	0.07291498	No	
row_21	IRF7	n/a	2560	0.6673082113265991	0.060950436	No	
row_22	TAPBP	n/a	2716	0.648542046546936	0.05881799	No	
row_23	ATP2C1	n/a	2768	0.6431165933609009	0.062324494	No	
row_24	ATP2A2	n/a	2791	0.639604926109314	0.067383826	No	
row_25	CCL17	n/a	2907	0.6281735897064209	0.06724118	No	
row_26	LAMP3	n/a	2951	0.6242753863334656	0.07100103	No	
row_27	GNAI3	n/a	3047	0.6157650947570801	0.0718315	No	
row_28	ROS1	n/a	3064	0.6140057444572449	0.07696854	No	
row_29	PCDH7	n/a	3093	0.611120343208313	0.08142054	No	
row_30	SLC7A1	n/a	3159	0.6032270789146423	0.083770186	No	
row_31	SEMA4D	n/a	3246	0.5949103832244873	0.08488902	No	
row_32	LY6E	n/a	3267	0.5931575894355774	0.08960297	No	
row_33	SPHK1	n/a	3351	0.5857737064361572	0.09079652	No	
row_34	TACR3	n/a	3372	0.5844720602035522	0.09542543	No	
row_35	SLC11A2	n/a	3383	0.583189845085144	0.10058908	No	
row_36	CCR7	n/a	3441	0.5789070725440979	0.10313842	No	
row_37	PVR	n/a	3498	0.572551965713501	0.10568025	No	
row_38	SLC7A2	n/a	3570	0.5644134283065796	0.10732141	No	
row_39	CCL5	n/a	3721	0.550784707069397	0.104505315	No	
row_40	HIF1A	n/a	3866	0.5387502908706665	0.101899765	No	
row_41	EIF2AK2	n/a	4047	0.5257050395011902	0.09719613	No	
row_42	NOD2	n/a	4097	0.5217300057411194	0.099623404	No	
row_43	RTP4	n/a	4240	0.5103417634963989	0.09684912	No	
row_44	HPN	n/a	4335	0.5032588839530945	0.09663259	No	
row_45	CCL7	n/a	4363	0.500954270362854	0.10006051	No	
row_46	AQP9	n/a	4694	0.47678807377815247	0.08666812	No	
row_47	RGS1	n/a	5040	0.4522014558315277	0.072213985	No	
row_48	NDP	n/a	5148	0.44613412022590637	0.07072654	No	
row_49	ITGA5	n/a	5233	0.4415716826915741	0.07045325	No	
row_50	ACVR1B	n/a	5303	0.4376057982444763	0.070962094	No	
row_51	RGS16	n/a	5381	0.4328993260860443	0.07098699	No	
row_52	ABI1	n/a	5414	0.4310181140899658	0.07345639	No	
row_53	LIF	n/a	5485	0.4262560307979584	0.07379936	No	
row_54	SELL	n/a	5780	0.4064425528049469	0.06168843	No	
row_55	IFITM1	n/a	5782	0.4062490165233612	0.06561195	No	
row_56	TPBG	n/a	5800	0.4052545130252838	0.06865003	No	
row_57	P2RX4	n/a	6068	0.3859284222126007	0.05781597	No	
row_58	LTA	n/a	6158	0.37925177812576294	0.05665874	No	
row_59	ADORA2B	n/a	6254	0.371583491563797	0.05509803	No	
row_60	CD82	n/a	6489	0.35535240173339844	0.04577069	No	
row_61	CXCR6	n/a	6498	0.3548760712146759	0.048808012	No	
row_62	P2RY2	n/a	6563	0.34936073422431946	0.04872636	No	
row_63	IL1A	n/a	6585	0.3474007844924927	0.05097897	No	
row_64	GCH1	n/a	6599	0.34589430689811707	0.053654682	No	
row_65	SLC1A2	n/a	7240	0.29718711972236633	0.021536743	No	
row_66	LCK	n/a	7287	0.2933129072189331	0.021891402	No	
row_67	ICAM1	n/a	7321	0.29007092118263245	0.022925822	No	
row_68	MXD1	n/a	7345	0.2881789207458496	0.024489032	No	
row_69	MEP1A	n/a	7361	0.286507785320282	0.026473727	No	
row_70	RELA	n/a	7436	0.279889851808548	0.025164455	No	
row_71	TNFSF15	n/a	7560	0.26949191093444824	0.021071516	No	
row_72	GPR183	n/a	7878	0.2455170452594757	0.0061258776	No	
row_73	OPRK1	n/a	8161	0.21816813945770264	-0.007171974	No	
row_74	PDPN	n/a	8177	0.2161872237920761	-0.0058759023	No	
row_75	ATP2B1	n/a	8246	0.21013253927230835	-0.0075398935	No	
row_76	PTGIR	n/a	8288	0.20656666159629822	-0.0077610523	No	
row_77	GABBR1	n/a	8326	0.2032686024904251	-0.0077955816	No	
row_78	SRI	n/a	8343	0.20206350088119507	-0.00669255	No	
row_79	CDKN1A	n/a	8384	0.1980735808610916	-0.0069421474	No	
row_80	GP1BA	n/a	8443	0.1936095654964447	-0.008220627	No	
row_81	IL2RB	n/a	8465	0.1917986124753952	-0.007491773	No	
row_82	GNA15	n/a	8513	0.1872931271791458	-0.00823006	No	
row_83	PDE4B	n/a	8603	0.17949920892715454	-0.011343395	No	
row_84	ITGB8	n/a	8666	0.17439229786396027	-0.013028989	No	
row_85	CD48	n/a	8724	0.16932664811611176	-0.014490531	No	
row_86	CD55	n/a	8727	0.16881541907787323	-0.012946844	No	
row_87	RAF1	n/a	8767	0.1658463180065155	-0.0134573	No	
row_88	MSR1	n/a	9043	0.1401563286781311	-0.027135972	No	
row_89	FFAR2	n/a	9214	0.1229248046875	-0.035236575	No	
row_90	TNFSF9	n/a	9235	0.12080304324626923	-0.035148226	No	
row_91	FPR1	n/a	9318	0.11390338838100433	-0.038520794	No	
row_92	SLAMF1	n/a	9548	0.09452727437019348	-0.050128646	No	
row_93	GPR132	n/a	9656	0.08610107749700546	-0.055141766	No	
row_94	NMI	n/a	9676	0.08471548557281494	-0.055352077	No	
row_95	EREG	n/a	9741	0.07941778004169464	-0.058077183	No	
row_96	LYN	n/a	9759	0.07807955890893936	-0.058243014	No	
row_97	IRF1	n/a	9950	0.060463130474090576	-0.068049915	No	
row_98	IL7R	n/a	10383	0.017149213701486588	-0.091526	No	
row_99	SLC31A1	n/a	10394	0.01606791280210018	-0.09191597	No	
row_100	TLR1	n/a	10486	0.006483215838670731	-0.09683306	No	
row_101	NAMPT	n/a	10489	0.006096912082284689	-0.09688281	No	
row_102	IL10	n/a	10538	0.0014192750677466393	-0.09949603	No	
row_103	LDLR	n/a	10563	-3.4700887044891715E-4	-0.100806184	No	
row_104	KCNJ2	n/a	10583	-0.0024417773820459843	-0.101822175	No	
row_105	TNFAIP6	n/a	10630	-0.008103794418275356	-0.10426047	No	
row_106	PTPRE	n/a	10757	-0.019729172810912132	-0.11096344	No	
row_107	IL1B	n/a	10972	-0.04407418891787529	-0.12224439	No	
row_108	SLC28A2	n/a	11003	-0.04726511985063553	-0.12342349	No	
row_109	ICAM4	n/a	11266	-0.07368890941143036	-0.13704154	No	
row_110	BDKRB1	n/a	11480	-0.09693171083927155	-0.14775014	No	
row_111	RHOG	n/a	11798	-0.13456988334655762	-0.16378224	No	
row_112	IL4R	n/a	11815	-0.13660357892513275	-0.16332024	No	
row_113	IFNGR2	n/a	11895	-0.1454003006219864	-0.16622017	No	
row_114	OSMR	n/a	12099	-0.1682197004556656	-0.17568336	No	
row_115	MYC	n/a	12125	-0.17054782807826996	-0.17538154	No	
row_116	IL18R1	n/a	12159	-0.1741747409105301	-0.17548205	No	
row_117	HBEGF	n/a	12333	-0.1936696469783783	-0.18305406	No	
row_118	CSF3R	n/a	12384	-0.1977597177028656	-0.18385406	No	
row_119	C5AR1	n/a	12497	-0.21381230652332306	-0.1878902	No	
row_120	KCNA3	n/a	12637	-0.23237980902194977	-0.19322227	No	
row_121	CXCL6	n/a	12659	-0.2343248575925827	-0.19207697	No	
row_122	PSEN1	n/a	12672	-0.23600439727306366	-0.19042264	No	
row_123	EBI3	n/a	12725	-0.24137276411056519	-0.190905	No	
row_124	BTG2	n/a	12766	-0.24616634845733643	-0.19068365	No	
row_125	CX3CL1	n/a	12771	-0.24623847007751465	-0.18849124	No	
row_126	MET	n/a	12862	-0.25716283917427063	-0.19089878	No	
row_127	LCP2	n/a	12866	-0.2577659487724304	-0.18853876	No	
row_128	ADM	n/a	12898	-0.2614823579788208	-0.18767484	No	
row_129	RNF144B	n/a	12914	-0.26305800676345825	-0.18591978	No	
row_130	NFKBIA	n/a	13155	-0.2939642071723938	-0.19617666	No	
row_131	TLR2	n/a	13218	-0.30067065358161926	-0.19662565	No	
row_132	TNFSF10	n/a	13261	-0.3055570125579834	-0.19593216	No	
row_133	ACVR2A	n/a	13292	-0.30862608551979065	-0.19455184	No	
row_134	CCRL2	n/a	13317	-0.31066152453422546	-0.1928232	No	
row_135	NPFFR2	n/a	13390	-0.320360392332077	-0.1936267	No	
row_136	IL15	n/a	13411	-0.32386112213134766	-0.19154987	No	
row_137	KIF1B	n/a	13690	-0.3571154475212097	-0.20326814	No	
row_138	P2RX7	n/a	13711	-0.3588869273662567	-0.20084831	No	
row_139	DCBLD2	n/a	13837	-0.3727850019931793	-0.2040392	No	
