NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADAR	n/a	111	1.44775390625	0.009467903	No	
row_1	CXCL10	n/a	257	1.2316824197769165	0.014756246	No	
row_2	IFI30	n/a	413	1.1194266080856323	0.018292483	No	
row_3	RIPK2	n/a	444	1.1019351482391357	0.028479785	No	
row_4	CXCL11	n/a	465	1.0947208404541016	0.03913675	No	
row_5	CASP3	n/a	754	0.9675831198692322	0.03376653	No	
row_6	OGFR	n/a	1207	0.8591210842132568	0.018259503	No	
row_7	PTPN1	n/a	1524	0.8017301559448242	0.0095770545	No	
row_8	VAMP8	n/a	1812	0.7570759057998657	0.0020018765	No	
row_9	OAS3	n/a	1824	0.7545981407165527	0.009500222	No	
row_10	CXCL9	n/a	1993	0.7335338592529297	0.008182894	No	
row_11	NUP93	n/a	2023	0.7304806709289551	0.014437562	No	
row_12	PFKP	n/a	2102	0.7205145955085754	0.017904432	No	
row_13	TAP1	n/a	2159	0.7126846313476562	0.022490885	No	
row_14	BST2	n/a	2221	0.7050303220748901	0.026721621	No	
row_15	MYD88	n/a	2393	0.6843388080596924	0.024712082	No	
row_16	PSMB2	n/a	2455	0.6771612763404846	0.028643658	No	
row_17	RBCK1	n/a	2543	0.668326199054718	0.031057922	No	
row_18	IRF7	n/a	2560	0.6673082113265991	0.03734571	No	
row_19	MTHFD2	n/a	2583	0.6642309427261353	0.0432722	No	
row_20	PNPT1	n/a	2672	0.6534304022789001	0.045471855	No	
row_21	TAPBP	n/a	2716	0.648542046546936	0.050081015	No	
row_22	PSMA2	n/a	2936	0.6254221200942993	0.044812933	No	
row_23	ISG15	n/a	3074	0.6130005717277527	0.043897778	No	
row_24	PNP	n/a	3266	0.5931753516197205	0.03981544	No	
row_25	LY6E	n/a	3267	0.5931575894355774	0.046182636	No	
row_26	CCL5	n/a	3721	0.550784707069397	0.027311089	No	
row_27	USP18	n/a	3837	0.5410057902336121	0.026826747	No	
row_28	HIF1A	n/a	3866	0.5387502908706665	0.031078015	No	
row_29	IRF5	n/a	3906	0.5351854562759399	0.0346892	No	
row_30	EIF2AK2	n/a	4047	0.5257050395011902	0.03267285	No	
row_31	OASL	n/a	4083	0.5224189758300781	0.036365833	No	
row_32	TRIM14	n/a	4121	0.519884467124939	0.039922193	No	
row_33	PSME2	n/a	4179	0.5157368183135986	0.042339817	No	
row_34	RTP4	n/a	4240	0.5103417634963989	0.0445354	No	
row_35	PARP12	n/a	4260	0.5088553428649902	0.048958156	No	
row_36	PTPN6	n/a	4303	0.5054740905761719	0.052086275	No	
row_37	CCL7	n/a	4363	0.500954270362854	0.054235797	No	
row_38	IFIH1	n/a	4503	0.4905913770198822	0.05189723	No	
row_39	TRAFD1	n/a	4665	0.47871536016464233	0.048227552	No	
row_40	IFITM3	n/a	4704	0.4761333167552948	0.05125956	No	
row_41	ITGB7	n/a	4885	0.46323227882385254	0.046384178	No	
row_42	RNF213	n/a	4991	0.4557437002658844	0.045531705	No	
row_43	ISG20	n/a	5008	0.4545024633407593	0.049535148	No	
row_44	SECTM1	n/a	5114	0.4476146996021271	0.048595414	No	
row_45	OAS2	n/a	5302	0.4376106858253479	0.043062028	No	
row_46	TRIM26	n/a	5536	0.4226513206958771	0.034851372	No	
row_47	STAT1	n/a	5544	0.42221686244010925	0.039000645	No	
row_48	METTL7B	n/a	5606	0.4178520739078522	0.04014869	No	
row_49	BPGM	n/a	5700	0.4117707312107086	0.03948072	No	
row_50	PTPN2	n/a	5765	0.4074738025665283	0.04035323	No	
row_51	DDX58	n/a	6013	0.3907890319824219	0.031034607	No	
row_52	PSMA3	n/a	6343	0.36480477452278137	0.016950788	No	
row_53	IDO1	n/a	6356	0.3639674782752991	0.020201236	No	
row_54	SLAMF7	n/a	6388	0.3617064654827118	0.02238791	No	
row_55	EPSTI1	n/a	6499	0.3548036217689514	0.020178353	No	
row_56	GCH1	n/a	6599	0.34589430689811707	0.018474976	No	
row_57	UBE2L6	n/a	6783	0.3320649564266205	0.012027458	No	
row_58	GBP6	n/a	6902	0.3225277364253998	0.009033753	No	
row_59	IRF9	n/a	6928	0.320566862821579	0.0111070825	No	
row_60	MVP	n/a	7012	0.314517080783844	0.009942258	No	
row_61	CFB	n/a	7110	0.3064868450164795	0.007925286	No	
row_62	PELI1	n/a	7124	0.3053487241268158	0.010491785	No	
row_63	STAT3	n/a	7162	0.30246102809906006	0.011714232	No	
row_64	NCOA3	n/a	7314	0.29050615429878235	0.0065713455	No	
row_65	ICAM1	n/a	7321	0.29007092118263245	0.009356821	No	
row_66	MX1	n/a	7335	0.2889879047870636	0.011747696	No	
row_67	SP110	n/a	7488	0.2750225365161896	0.006383891	No	
row_68	LGALS3BP	n/a	7489	0.27500230073928833	0.009335877	No	
row_69	ZBP1	n/a	7904	0.24286197125911713	-0.010707324	No	
row_70	IFI44	n/a	7935	0.23916716873645782	-0.009781324	No	
