NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHROOM2	n/a	48	1.684261679649353	0.0121477805	Yes	
row_1	KIF22	n/a	73	1.5561217069625854	0.024484972	Yes	
row_2	TOP2A	n/a	103	1.4653135538101196	0.035751928	Yes	
row_3	NEK2	n/a	270	1.2194442749023438	0.037364252	Yes	
row_4	KIF20B	n/a	294	1.202177882194519	0.04665129	Yes	
row_5	RACGAP1	n/a	311	1.188040018081665	0.05619741	Yes	
row_6	CENPF	n/a	491	1.081031322479248	0.055884067	Yes	
row_7	CENPE	n/a	500	1.0746002197265625	0.06487289	Yes	
row_8	KIF4A	n/a	515	1.0644198656082153	0.07344404	Yes	
row_9	ESPL1	n/a	522	1.0603013038635254	0.08241689	Yes	
row_10	KIFAP3	n/a	578	1.0383645296096802	0.0885156	Yes	
row_11	ECT2	n/a	615	1.0168992280960083	0.09546586	Yes	
row_12	TPX2	n/a	622	1.0123541355133057	0.10401811	Yes	
row_13	CKAP5	n/a	651	1.0001102685928345	0.11125892	Yes	
row_14	MAPRE1	n/a	660	0.9956138730049133	0.119554855	Yes	
row_15	PLK1	n/a	741	0.9718285799026489	0.123701684	Yes	
row_16	ANLN	n/a	807	0.9516135454177856	0.12849212	Yes	
row_17	FGD6	n/a	836	0.9422206878662109	0.1352251	Yes	
row_18	AURKA	n/a	925	0.9190773367881775	0.13847136	Yes	
row_19	NUSAP1	n/a	946	0.9134812355041504	0.14539006	Yes	
row_20	BUB1	n/a	1018	0.8984374403953552	0.14938566	Yes	
row_21	KIF15	n/a	1048	0.8927474021911621	0.15562992	Yes	
row_22	KIF2C	n/a	1083	0.8869832158088684	0.16154999	Yes	
row_23	SAC3D1	n/a	1173	0.865829348564148	0.16427441	Yes	
row_24	SMC1A	n/a	1210	0.8579175472259521	0.16983004	Yes	
row_25	FARP1	n/a	1214	0.857161819934845	0.17718509	Yes	
row_26	CDK1	n/a	1243	0.8507335782051086	0.18311553	Yes	
row_27	KNTC1	n/a	1285	0.842745304107666	0.18826443	Yes	
row_28	NDC80	n/a	1304	0.8400433659553528	0.19464837	Yes	
row_29	INCENP	n/a	1347	0.8296517729759216	0.19962768	Yes	
row_30	STAU1	n/a	1392	0.8235257267951965	0.2044438	Yes	
row_31	PRC1	n/a	1399	0.8227066993713379	0.21133241	Yes	
row_32	RHOF	n/a	1410	0.8208902478218079	0.21798617	Yes	
row_33	KPTN	n/a	1500	0.8058825731277466	0.22018473	Yes	
row_34	LMNB1	n/a	1515	0.8031426668167114	0.22646388	Yes	
row_35	KIF23	n/a	1696	0.773019552230835	0.22339386	Yes	
row_36	CCNB2	n/a	1798	0.7594457864761353	0.22452833	Yes	
row_37	SMC4	n/a	1934	0.7419777512550354	0.22364877	Yes	
row_38	ARFGEF1	n/a	2024	0.7302636504173279	0.22518398	Yes	
