NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRIB3	n/a	1	2.6320722103118896	0.025440412	Yes	
row_1	CXCR4	n/a	59	1.6293904781341553	0.038104385	Yes	
row_2	MCM4	n/a	140	1.3807092905044556	0.04710107	Yes	
row_3	SHMT2	n/a	183	1.3148635625839233	0.05753918	Yes	
row_4	TPI1	n/a	184	1.314700961112976	0.07027381	Yes	
row_5	MCM2	n/a	233	1.2593810558319092	0.0798462	Yes	
row_6	IFI30	n/a	413	1.1194266080856323	0.08089507	Yes	
row_7	GAPDH	n/a	460	1.0951565504074097	0.088986166	Yes	
row_8	CD9	n/a	498	1.0747861862182617	0.09737239	Yes	
row_9	SLC7A11	n/a	503	1.0736995935440063	0.107553735	Yes	
row_10	CCT6A	n/a	511	1.0685337781906128	0.11752089	Yes	
row_11	GSK3B	n/a	551	1.048814296722412	0.12554611	Yes	
row_12	SDF2L1	n/a	579	1.0371266603469849	0.13411471	Yes	
row_13	HPRT1	n/a	631	1.0068778991699219	0.14107713	Yes	
row_14	STIP1	n/a	704	0.9820767045021057	0.14665025	Yes	
row_15	PSMC2	n/a	707	0.9813661575317383	0.15604666	Yes	
row_16	SLC7A5	n/a	711	0.9801065921783447	0.16537614	Yes	
row_17	PLK1	n/a	741	0.9718285799026489	0.17320283	Yes	
row_18	TFRC	n/a	782	0.9597585201263428	0.1803107	Yes	
row_19	CALR	n/a	812	0.9488061666488647	0.18791437	Yes	
row_20	RRM2	n/a	820	0.9460163712501526	0.19669479	Yes	
row_21	AURKA	n/a	925	0.9190773367881775	0.19990675	Yes	
row_22	TMEM97	n/a	952	0.9110987782478333	0.20730934	Yes	
row_23	SERPINH1	n/a	965	0.9079295992851257	0.21544723	Yes	
row_24	NUP205	n/a	980	0.905598521232605	0.22345313	Yes	
row_25	PSMC4	n/a	1009	0.8995711803436279	0.23063461	Yes	
row_26	PSPH	n/a	1016	0.8988304734230042	0.23901269	Yes	
row_27	BUB1	n/a	1018	0.8984374403953552	0.24766053	Yes	
row_28	RPN1	n/a	1050	0.8926565647125244	0.2546109	Yes	
row_29	HSP90B1	n/a	1121	0.8786661624908447	0.2592918	Yes	
row_30	PDAP1	n/a	1131	0.8753908276557922	0.26727867	Yes	
row_31	PPIA	n/a	1148	0.8732298612594604	0.2748616	Yes	
row_32	ASNS	n/a	1476	0.8105284571647644	0.26482034	Yes	
row_33	ABCF2	n/a	1523	0.8018149733543396	0.27007002	Yes	
row_34	FDXR	n/a	1550	0.7972727417945862	0.27637002	Yes	
row_35	COPS5	n/a	1692	0.7736107707023621	0.27614844	Yes	
row_36	ALDOA	n/a	1704	0.7716196775436401	0.28302073	Yes	
row_37	CDC25A	n/a	1814	0.7568660378456116	0.2843879	Yes	
row_38	CCNF	n/a	1882	0.7482500076293945	0.28796965	Yes	
row_39	HSPD1	n/a	1937	0.7414865493774414	0.29219726	Yes	
row_40	EIF2S2	n/a	1945	0.7403454184532166	0.29898548	Yes	
row_41	LDHA	n/a	1985	0.7346712350845337	0.3039678	Yes	
row_42	EEF1E1	n/a	1991	0.7335729002952576	0.31079984	Yes	
row_43	DDIT4	n/a	1995	0.733296275138855	0.31773865	Yes	
row_44	ACTR3	n/a	2107	0.7200021147727966	0.31863928	Yes	
row_45	UCHL5	n/a	2111	0.7197121977806091	0.32544652	Yes	
row_46	YKT6	n/a	2147	0.7141377925872803	0.3304488	Yes	
row_47	TOMM40	n/a	2157	0.7130607962608337	0.3368633	Yes	
row_48	HSPA4	n/a	2177	0.7105106115341187	0.34270594	Yes	
row_49	TUBG1	n/a	2179	0.7100831270217896	0.34952933	Yes	
row_50	ARPC5L	n/a	2322	0.6932081580162048	0.3484742	Yes	
row_51	SQLE	n/a	2330	0.6921849846839905	0.35479593	Yes	
row_52	CACYBP	n/a	2348	0.6897671818733215	0.36054707	Yes	
row_53	RRP9	n/a	2395	0.684078574180603	0.3646563	Yes	
row_54	PGK1	n/a	2403	0.682953417301178	0.3708886	Yes	
row_55	PSMD14	n/a	2414	0.6822982430458069	0.3769504	Yes	
row_56	P4HA1	n/a	2422	0.6815512180328369	0.3831691	Yes	
row_57	GMPS	n/a	2438	0.679555356502533	0.38893077	Yes	
row_58	PRDX1	n/a	2492	0.6736170649528503	0.39255568	Yes	
row_59	GSR	n/a	2570	0.6655274629592896	0.394789	Yes	
row_60	TUBA4A	n/a	2578	0.6649466156959534	0.4008469	Yes	
row_61	MTHFD2	n/a	2583	0.6642309427261353	0.407062	Yes	
row_62	ENO1	n/a	2636	0.658520519733429	0.4105954	Yes	
row_63	PSMD12	n/a	2697	0.6513858437538147	0.41362193	Yes	
row_64	ATP2A2	n/a	2791	0.639604926109314	0.4147287	Yes	
row_65	HSPE1	n/a	2978	0.621898353099823	0.41057536	Yes	
row_66	PNP	n/a	3266	0.5931753516197205	0.4006174	Yes	
row_67	SERP1	n/a	3272	0.5925871729850769	0.4060838	Yes	
row_68	MLLT11	n/a	3462	0.5756792426109314	0.40131858	Yes	
row_69	SLC2A1	n/a	3481	0.5738059282302856	0.40589178	Yes	
row_70	UNG	n/a	3488	0.5735488533973694	0.41111904	Yes	
row_71	PSMG1	n/a	3559	0.565689206123352	0.41276833	Yes	
row_72	PNO1	n/a	3653	0.558291494846344	0.4130875	Yes	
row_73	PSME3	n/a	3698	0.553341269493103	0.41603982	Yes	
row_74	NFKBIB	n/a	4045	0.5258935689926147	0.40220186	No	
row_75	STC1	n/a	4115	0.5202696323394775	0.40346593	No	
row_76	PSMA4	n/a	4126	0.5195546746253967	0.40795135	No	
row_77	HMBS	n/a	4284	0.5068677067756653	0.40427053	No	
row_78	TCEA1	n/a	4459	0.4941115379333496	0.39953598	No	
row_79	ACTR2	n/a	4532	0.4882866144180298	0.4003261	No	
row_80	PSAT1	n/a	4564	0.48564985394477844	0.40333405	No	
row_81	DAPP1	n/a	4617	0.4817698001861572	0.40515536	No	
row_82	RIT1	n/a	4698	0.4766090512275696	0.40539464	No	
row_83	HSPA5	n/a	4779	0.4704906940460205	0.40557465	No	
row_84	EGLN3	n/a	4852	0.4648417532444	0.40613765	No	
row_85	TBK1	n/a	5036	0.4523967206478119	0.4005066	No	
row_86	PFKL	n/a	5282	0.43883076310157776	0.3913517	No	
row_87	SLC9A3R1	n/a	5382	0.4327780306339264	0.3901268	No	
row_88	NFYC	n/a	5443	0.42901042103767395	0.39099932	No	
row_89	PPA1	n/a	5456	0.42840906977653503	0.39449245	No	
row_90	PHGDH	n/a	5470	0.4277438223361969	0.3979244	No	
row_91	RDH11	n/a	5597	0.41843488812446594	0.39508322	No	
row_92	GPI	n/a	5715	0.4108397662639618	0.3926609	No	
row_93	PIK3R3	n/a	5752	0.40836986899375916	0.3946467	No	
row_94	TXNRD1	n/a	5913	0.39725831151008606	0.38974002	No	
row_95	PSMD13	n/a	5940	0.395087331533432	0.39214435	No	
row_96	EBP	n/a	6276	0.37020763754844666	0.37740025	No	
row_97	POLR3G	n/a	6324	0.36658623814582825	0.37837946	No	
row_98	M6PR	n/a	6330	0.3659910261631012	0.38165098	No	
row_99	SSR1	n/a	6332	0.3658997714519501	0.38514048	No	
row_100	PSMA3	n/a	6343	0.36480477452278137	0.38812694	No	
row_101	NUFIP1	n/a	6460	0.35811859369277954	0.3852487	No	
row_102	RAB1A	n/a	6637	0.34292465448379517	0.37894025	No	
row_103	PSMB5	n/a	6808	0.32997578382492065	0.37283468	No	
row_104	SLC37A4	n/a	7035	0.3128874599933624	0.36349946	No	
row_105	DHCR24	n/a	7060	0.3108806312084198	0.36519757	No	
row_106	ELOVL6	n/a	7120	0.3055853247642517	0.3649293	No	
row_107	PDK1	n/a	7237	0.2973141074180603	0.36146206	No	
row_108	ACLY	n/a	7269	0.2945229411125183	0.36261868	No	
row_109	CANX	n/a	7281	0.2938956320285797	0.36486357	No	
row_110	HSPA9	n/a	7359	0.28660494089126587	0.36342654	No	
row_111	GGA2	n/a	7506	0.27364489436149597	0.35808855	No	
row_112	SLC1A4	n/a	7579	0.2679871916770935	0.35674477	No	
row_113	FADS1	n/a	7611	0.26490387320518494	0.3576145	No	
row_114	XBP1	n/a	8002	0.2334752082824707	0.33853656	No	
row_115	IFRD1	n/a	8077	0.2263958603143692	0.33668047	No	
row_116	TES	n/a	8336	0.20268993079662323	0.32452694	No	
row_117	CDKN1A	n/a	8384	0.1980735808610916	0.32387385	No	
row_118	FKBP2	n/a	8438	0.19396311044692993	0.32285267	No	
row_119	BCAT1	n/a	8536	0.1855669617652893	0.3193426	No	
row_120	IMMT	n/a	8537	0.18540184199810028	0.32113847	No	
row_121	LTA4H	n/a	8564	0.18372242152690887	0.32149544	No	
row_122	CORO1A	n/a	8571	0.1833808422088623	0.32294345	No	
row_123	CYP51A1	n/a	8585	0.18206000328063965	0.32399562	No	
row_124	NUPR1	n/a	8789	0.16363149881362915	0.31447315	No	
row_125	MTHFD2L	n/a	8891	0.1535940170288086	0.31043452	No	
row_126	HK2	n/a	8963	0.147118479013443	0.3079747	No	
row_127	GOT1	n/a	9158	0.12748968601226807	0.2985946	No	
row_128	EDEM1	n/a	9325	0.11321800947189331	0.29060832	No	
row_129	SLC6A6	n/a	9381	0.10846436768770218	0.2886495	No	
row_130	BHLHE40	n/a	9464	0.1013416275382042	0.2851444	No	
row_131	DHCR7	n/a	9510	0.09790116548538208	0.28363043	No	
row_132	PITPNB	n/a	9577	0.09255041927099228	0.28091562	No	
row_133	ATP6V1D	n/a	9684	0.0839688628911972	0.275929	No	
row_134	UFM1	n/a	9763	0.07787135243415833	0.2724154	No	
row_135	STARD4	n/a	10092	0.046613119542598724	0.2549199	No	
row_136	PSMC6	n/a	10283	0.026943497359752655	0.24478473	No	
row_137	ITGB2	n/a	10318	0.02345660887658596	0.24315156	No	
row_138	GLA	n/a	10364	0.018784940242767334	0.24087128	No	
row_139	NAMPT	n/a	10489	0.006096912082284689	0.23414548	No	
row_140	LDLR	n/a	10563	-3.4700887044891715E-4	0.23015453	No	
row_141	PLOD2	n/a	10682	-0.013161592185497284	0.22382547	No	
row_142	FADS2	n/a	10707	-0.014985031448304653	0.22265741	No	
row_143	DHFR	n/a	10984	-0.045902498066425323	0.20800027	No	
row_144	CYB5B	n/a	10996	-0.046950504183769226	0.20785317	No	
row_145	GLRX	n/a	11033	-0.050300829112529755	0.2063706	No	
row_146	SLC1A5	n/a	11518	-0.10087348520755768	0.18086487	No	
row_147	SYTL2	n/a	11594	-0.11051894724369049	0.17783165	No	
row_148	HMGCR	n/a	11768	-0.13185855746269226	0.16964291	No	
row_149	CTSC	n/a	11796	-0.13450023531913757	0.16946839	No	
row_150	SEC11A	n/a	11804	-0.13498155772686005	0.17039284	No	
row_151	NFIL3	n/a	11904	-0.14619506895542145	0.166392	No	
row_152	SLA	n/a	12015	-0.15917512774467468	0.161915	No	
row_153	SORD	n/a	12016	-0.15929695963859558	0.163458	No	
row_154	ETF1	n/a	12128	-0.17084753513336182	0.15903935	No	
row_155	SRD5A1	n/a	12144	-0.17266887426376343	0.15989113	No	
row_156	DDIT3	n/a	12178	-0.1761055886745453	0.15979129	No	
row_157	QDPR	n/a	12181	-0.17648892104625702	0.16139139	No	
row_158	ACACA	n/a	12221	-0.1819346398115158	0.16101973	No	
row_159	SLC2A3	n/a	12279	-0.18740521371364594	0.15971616	No	
row_160	SQSTM1	n/a	12338	-0.194022536277771	0.15842196	No	
row_161	MAP2K3	n/a	12340	-0.19402849674224854	0.16024667	No	
row_162	USO1	n/a	12552	-0.22150591015815735	0.15084705	No	
row_163	CTH	n/a	12606	-0.22850660979747772	0.15016046	No	
row_164	RPA1	n/a	12718	-0.24082066118717194	0.1464196	No	
row_165	BTG2	n/a	12766	-0.24616634845733643	0.14623237	No	
row_166	HMGCS1	n/a	12924	-0.26389288902282715	0.14019802	No	
row_167	PPP1R15A	n/a	12941	-0.26618143916130066	0.14190087	No	
row_168	G6PD	n/a	12944	-0.2668161392211914	0.1443759	No	
row_169	UBE2D3	n/a	12952	-0.26777175068855286	0.14658663	No	
row_170	ADIPOR2	n/a	13189	-0.298179030418396	0.13656177	No	
row_171	ACSL3	n/a	13397	-0.3213516175746918	0.12834816	No	
row_172	IDI1	n/a	13588	-0.3415048122406006	0.12125994	No	
row_173	INSIG1	n/a	13900	-0.38037270307540894	0.10792751	No	
row_174	VLDLR	n/a	14098	-0.4055270850658417	0.10107641	No	
row_175	SCD	n/a	14948	-0.5247014760971069	0.05970448	No	
row_176	PGM1	n/a	15063	-0.5432677865028381	0.058729064	No	
row_177	GTF2H1	n/a	15067	-0.5442473888397217	0.06383667	No	
row_178	NMT1	n/a	15098	-0.5478914380073547	0.06750224	No	
row_179	TM7SF2	n/a	15792	-0.6590978503227234	0.035967894	No	
row_180	CCNG1	n/a	16104	-0.715089738368988	0.02587764	No	
row_181	IGFBP5	n/a	16541	-0.8047450184822083	0.009816243	No	
row_182	GBE1	n/a	16638	-0.824751079082489	0.012552266	No	
row_183	ELOVL5	n/a	16801	-0.8635087609291077	0.012052415	No	
row_184	ME1	n/a	16855	-0.8769996762275696	0.017647348	No	
row_185	IDH1	n/a	17036	-0.9176884293556213	0.0166874	No	
row_186	GCLC	n/a	17101	-0.9347964525222778	0.022240289	No	
row_187	ADD3	n/a	17147	-0.9473104476928711	0.028954009	No	
row_188	SKAP2	n/a	17422	-1.0308003425598145	0.023946345	No	
row_189	LGMN	n/a	17583	-1.0842597484588623	0.025694195	No	
row_190	CFP	n/a	17705	-1.1262755393981934	0.02998297	No	
row_191	FGL2	n/a	17895	-1.2033673524856567	0.031297754	No	
