NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CSTF2	n/a	50	1.6783510446548462	0.011958357	Yes	
row_1	MCM4	n/a	140	1.3807092905044556	0.019177448	Yes	
row_2	MCM2	n/a	233	1.2593810558319092	0.025170224	Yes	
row_3	VDAC1	n/a	326	1.1735725402832031	0.030411765	Yes	
row_4	NOP56	n/a	328	1.1731501817703247	0.040627725	Yes	
row_5	MAD2L1	n/a	360	1.1493853330612183	0.048994496	Yes	
row_6	NHP2	n/a	387	1.1319438219070435	0.05748209	Yes	
row_7	PSMB3	n/a	389	1.130171298980713	0.06732178	Yes	
row_8	CDK4	n/a	421	1.115377426147461	0.075390816	Yes	
row_9	GNL3	n/a	431	1.1083836555480957	0.084602125	Yes	
row_10	KPNA2	n/a	461	1.0951529741287231	0.09260351	Yes	
row_11	SMARCC1	n/a	476	1.0897777080535889	0.1013784	Yes	
row_12	NME1	n/a	555	1.0466300249099731	0.106274456	Yes	
row_13	NPM1	n/a	565	1.0422871112823486	0.11490711	Yes	
row_14	TRIM28	n/a	580	1.0363589525222778	0.123214334	Yes	
row_15	RANBP1	n/a	594	1.0274070501327515	0.13149789	Yes	
row_16	CCT2	n/a	605	1.0211495161056519	0.13989078	Yes	
row_17	HPRT1	n/a	631	1.0068778991699219	0.14733815	Yes	
row_18	PCNA	n/a	646	1.0018941164016724	0.15534365	Yes	
row_19	CCT3	n/a	681	0.9878690838813782	0.16213226	Yes	
row_20	HDGF	n/a	682	0.9877792000770569	0.17078005	Yes	
row_21	CDK2	n/a	689	0.9848436117172241	0.1790739	Yes	
row_22	RUVBL2	n/a	717	0.9787842035293579	0.18616591	Yes	
row_23	BUB3	n/a	811	0.9495915770530701	0.18939185	Yes	
row_24	CBX3	n/a	822	0.9451808333396912	0.19711965	Yes	
row_25	POLD2	n/a	847	0.939057469367981	0.20402798	Yes	
row_26	RFC4	n/a	857	0.9352493286132812	0.21172354	Yes	
row_27	CCT5	n/a	881	0.9297845959663391	0.21860538	Yes	
row_28	NOP16	n/a	914	0.9217439293861389	0.2249245	Yes	
row_29	SSBP1	n/a	945	0.9141009449958801	0.23128611	Yes	
