NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL1A1	n/a	179	1.3217965364456177	0.0016943158	No	
row_1	ADAM12	n/a	325	1.1739857196807861	0.0039644022	No	
row_2	TPM3	n/a	361	1.1492199897766113	0.012039013	No	
row_3	MYBPH	n/a	402	1.1224268674850464	0.01960709	No	
row_4	ATP6AP1	n/a	454	1.0980045795440674	0.026360884	No	
row_5	TNNT1	n/a	506	1.0719242095947266	0.032887965	No	
row_6	COL3A1	n/a	530	1.0569915771484375	0.040817555	No	
row_7	KCNH2	n/a	575	1.0394647121429443	0.04744555	No	
row_8	PPFIA4	n/a	1362	0.8278528451919556	0.011627675	No	
row_9	ERBB3	n/a	1425	0.8187355399131775	0.015351843	No	
row_10	EPHB3	n/a	1730	0.7681735157966614	0.0053928983	No	
row_11	ATP2A1	n/a	1751	0.7642083764076233	0.010941543	No	
row_12	TEAD4	n/a	2408	0.6826162934303284	-0.019024532	No	
row_13	PTP4A3	n/a	2424	0.6811720132827759	-0.013924085	No	
row_14	AEBP1	n/a	2630	0.6592423319816589	-0.019412123	No	
row_15	CACNA1H	n/a	2700	0.6507324576377869	-0.01753146	No	
row_16	SLC6A8	n/a	2779	0.6416075229644775	-0.01622265	No	
row_17	PLXNB2	n/a	2831	0.6349960565567017	-0.013493722	No	
row_18	SYNGR2	n/a	3090	0.6111891269683838	-0.022299934	No	
row_19	SLN	n/a	3276	0.5923967361450195	-0.027274542	No	
row_20	MYLPF	n/a	3287	0.5912401676177979	-0.022682229	No	
row_21	ACTN2	n/a	3333	0.5875144004821777	-0.0200377	No	
row_22	SPHK1	n/a	3351	0.5857737064361572	-0.015875988	No	
row_23	PFKM	n/a	3404	0.5817018747329712	-0.013665064	No	
row_24	CKM	n/a	3726	0.5501890778541565	-0.02644925	No	
row_25	TGFB1	n/a	3839	0.5408762097358704	-0.027876751	No	
row_26	GAA	n/a	4203	0.5140539407730103	-0.04327353	No	
row_27	MYL6B	n/a	4233	0.5109582543373108	-0.040418882	No	
row_28	ACHE	n/a	4675	0.47788986563682556	-0.060398623	No	
row_29	RIT1	n/a	4698	0.4766090512275696	-0.05745949	No	
row_30	ANKRD2	n/a	4757	0.4723874628543854	-0.056527175	No	
row_31	MEF2D	n/a	4782	0.4704638719558716	-0.053750914	No	
row_32	PDLIM7	n/a	4911	0.4618948698043823	-0.056740597	No	
row_33	KCNH1	n/a	5109	0.4478190541267395	-0.0636287	No	
row_34	PVALB	n/a	5171	0.4449189603328705	-0.06309935	No	
row_35	COL6A3	n/a	5547	0.4217732846736908	-0.07995501	No	
row_36	CHRNG	n/a	5791	0.40576326847076416	-0.089726076	No	
row_37	TNNT2	n/a	5852	0.4012055993080139	-0.08952199	No	
row_38	MB	n/a	5855	0.40097448229789734	-0.086145826	No	
row_39	PSEN2	n/a	5936	0.3954663872718811	-0.08708613	No	
row_40	KLF5	n/a	6105	0.3832300007343292	-0.09294866	No	
row_41	TCAP	n/a	6493	0.3551037609577179	-0.111040585	No	
row_42	CNN3	n/a	6632	0.3433365225791931	-0.11560813	No	
row_43	FABP3	n/a	6667	0.3402248024940491	-0.11451128	No	
row_44	STC2	n/a	6700	0.33877643942832947	-0.11331756	No	
row_45	FDPS	n/a	6870	0.32539787888526917	-0.11973754	No	
row_46	MYOG	n/a	6912	0.3216906189918518	-0.119184874	No	
row_47	RYR1	n/a	6977	0.31688714027404785	-0.11993266	No	
row_48	PICK1	n/a	7085	0.30847281217575073	-0.12310678	No	
row_49	AGRN	n/a	7090	0.30787765979766846	-0.120649345	No	
row_50	DMPK	n/a	7098	0.3071821928024292	-0.118362136	No	
row_51	SCHIP1	n/a	7140	0.30478131771087646	-0.11795646	No	
row_52	TNNC1	n/a	7182	0.30132007598876953	-0.117580876	No	
row_53	MYH9	n/a	7313	0.290562242269516	-0.12216938	No	
row_54	HSPB8	n/a	7319	0.2901584506034851	-0.1199207	No	
row_55	CACNG1	n/a	7500	0.2743985652923584	-0.12738599	No	
row_56	TPD52L1	n/a	7616	0.2645152807235718	-0.13138004	No	
row_57	SPDEF	n/a	7698	0.2587897777557373	-0.13356319	No	
row_58	TNNI1	n/a	7953	0.23750852048397064	-0.14539886	No	
row_59	IFRD1	n/a	8077	0.2263958603143692	-0.15016207	No	
row_60	CAMK2B	n/a	8105	0.22374454140663147	-0.14969468	No	
row_61	SH3BGR	n/a	8379	0.19861619174480438	-0.16290821	No	
row_62	CDKN1A	n/a	8384	0.1980735808610916	-0.16140528	No	
row_63	APP	n/a	8395	0.197442889213562	-0.1602362	No	
row_64	WWTR1	n/a	8635	0.17712773382663727	-0.17177586	No	
row_65	ITGB4	n/a	8675	0.17347995936870575	-0.17240211	No	
row_66	BAG1	n/a	8843	0.157828226685524	-0.1801693	No	
row_67	CHRNA1	n/a	9402	0.1068299263715744	-0.2097775	No	
row_68	BHLHE40	n/a	9464	0.1013416275382042	-0.21223481	No	
row_69	TSC2	n/a	9490	0.09956274181604385	-0.21273747	No	
row_70	COL6A2	n/a	9492	0.09952010214328766	-0.21192709	No	
row_71	SPARC	n/a	9551	0.09439094364643097	-0.21428064	No	
row_72	ENO3	n/a	9690	0.0830095037817955	-0.22111118	No	
row_73	ITGB5	n/a	9791	0.07534728199243546	-0.22592874	No	
