NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TOP2A	n/a	103	1.4653135538101196	0.019205488	No	
row_1	SMARCC1	n/a	476	1.0897777080535889	0.017405884	No	
row_2	ACOT8	n/a	801	0.955433189868927	0.015944695	No	
row_3	CADM1	n/a	834	0.9429096579551697	0.030169513	No	
row_4	ABCB9	n/a	1095	0.8839401006698608	0.030982183	No	
row_5	PABPC1	n/a	1276	0.844757080078125	0.03548697	No	
row_6	PEX13	n/a	1413	0.8207441568374634	0.041980732	No	
row_7	ABCC5	n/a	1496	0.8065111041069031	0.051173523	No	
row_8	NR1I2	n/a	1620	0.7864932417869568	0.057795074	No	
row_9	NUDT19	n/a	1736	0.766733705997467	0.06451759	No	
row_10	CRABP2	n/a	1763	0.7626184821128845	0.07601605	No	
row_11	SLC35B2	n/a	1794	0.7596603631973267	0.08724666	No	
row_12	CACNA1B	n/a	1965	0.7365198135375977	0.09046303	No	
row_13	HSD11B2	n/a	2142	0.7147876620292664	0.09298471	No	
row_14	CDK7	n/a	2329	0.6922301650047302	0.094579965	No	
row_15	PRDX1	n/a	2492	0.6736170649528503	0.09716672	No	
row_16	MSH2	n/a	2760	0.6438047289848328	0.093531854	No	
row_17	SLC25A19	n/a	2766	0.64336097240448	0.1041542	No	
row_18	DIO1	n/a	3110	0.6091522574424744	0.09579468	No	
row_19	CLN6	n/a	3157	0.6033108234405518	0.10350655	No	
row_20	PEX11B	n/a	3262	0.5937793254852295	0.10789918	No	
row_21	IDH2	n/a	3562	0.5653169751167297	0.101192966	No	
row_22	HRAS	n/a	4407	0.49810659885406494	0.06367584	No	
row_23	YWHAH	n/a	4579	0.4851030111312866	0.06258032	No	
row_24	ERCC1	n/a	4615	0.481965571641922	0.06883625	No	
row_25	ERCC3	n/a	4975	0.4571843147277832	0.05703221	No	
row_26	CRABP1	n/a	5072	0.4504517912864685	0.05943332	No	
row_27	FABP6	n/a	5273	0.43923431634902954	0.055982143	No	
row_28	PEX2	n/a	5437	0.42933058738708496	0.054377742	No	
row_29	RDH11	n/a	5597	0.41843488812446594	0.05280662	No	
row_30	IDE	n/a	5994	0.3917541205883026	0.037880108	No	
row_31	SLC25A17	n/a	6485	0.35574230551719666	0.017225906	No	
row_32	GNPAT	n/a	6531	0.35211145877838135	0.020738456	No	
row_33	DLG4	n/a	6628	0.3436456620693207	0.021330928	No	
row_34	PRDX5	n/a	6659	0.3410978615283966	0.025473658	No	
row_35	SULT2B1	n/a	6723	0.336762011051178	0.027746264	No	
row_36	FDPS	n/a	6870	0.32539787888526917	0.025307458	No	
row_37	HSD3B7	n/a	6894	0.3233010768890381	0.029529938	No	
row_38	MVP	n/a	7012	0.314517080783844	0.028485797	No	
row_39	DHCR24	n/a	7060	0.3108806312084198	0.031191261	No	
row_40	FADS1	n/a	7611	0.26490387320518494	0.0057320874	No	
row_41	SIAH1	n/a	8094	0.2248186320066452	-0.01670359	No	
row_42	SERPINA6	n/a	8109	0.2234869748353958	-0.013681335	No	
row_43	SOD1	n/a	8332	0.202839657664299	-0.022333378	No	
row_44	CTBP1	n/a	8553	0.18443267047405243	-0.031188231	No	
row_45	CNBP	n/a	8839	0.15863744914531708	-0.04401885	No	
row_46	ABCB4	n/a	9135	0.12976157665252686	-0.057882905	No	
row_47	CEL	n/a	9157	0.12763196229934692	-0.056864962	No	
row_48	ABCD3	n/a	9366	0.10997887700796127	-0.06632726	No	
