NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCAMP3	n/a	29	1.8337737321853638	0.03460646	Yes	
row_1	ARF1	n/a	68	1.5814318656921387	0.063743785	Yes	
row_2	COPB2	n/a	85	1.5181289911270142	0.09282933	Yes	
row_3	TMED2	n/a	228	1.2651135921478271	0.11006476	Yes	
row_4	TPD52	n/a	350	1.1544102430343628	0.12625866	Yes	
row_5	COPE	n/a	406	1.1209160089492798	0.14538367	Yes	
row_6	RAB2A	n/a	517	1.062983751296997	0.16037218	Yes	
row_7	ERGIC3	n/a	841	0.940159261226654	0.1613446	Yes	
row_8	SEC24D	n/a	1228	0.8539352416992188	0.15718687	Yes	
row_9	GNAS	n/a	1317	0.8366771340370178	0.16890714	Yes	
row_10	PPT1	n/a	1472	0.8107980489730835	0.17652473	Yes	
row_11	ARFGEF1	n/a	2024	0.7302636504173279	0.16094656	Yes	
row_12	STAM	n/a	2071	0.7243578433990479	0.17273635	Yes	
row_13	YKT6	n/a	2147	0.7141377925872803	0.18274616	Yes	
row_14	AP2M1	n/a	2432	0.6803973317146301	0.18071541	Yes	
row_15	AP2S1	n/a	2550	0.6679747700691223	0.18752848	Yes	
row_16	ANP32E	n/a	3016	0.6182627081871033	0.17442079	Yes	
row_17	DNM1L	n/a	3425	0.5799463391304016	0.16365923	Yes	
row_18	CLTA	n/a	3490	0.5732764601707458	0.17148818	Yes	
row_19	NAPA	n/a	3659	0.5576174855232239	0.17334796	Yes	
row_20	COG2	n/a	3661	0.5573374032974243	0.18429114	Yes	
row_21	KRT18	n/a	3727	0.5499891042709351	0.19160615	Yes	
row_22	VPS45	n/a	3808	0.5430710315704346	0.19796827	Yes	
row_23	SEC31A	n/a	3849	0.5400371551513672	0.20644751	Yes	
row_24	CLTC	n/a	3981	0.5304169654846191	0.20978428	Yes	
row_25	ATP1A1	n/a	4226	0.5121753811836243	0.2066111	Yes	
row_26	LMAN1	n/a	4268	0.5083360075950623	0.21441038	Yes	
row_27	YIPF6	n/a	4315	0.5047689080238342	0.22186714	Yes	
row_28	COPB1	n/a	4403	0.49834877252578735	0.22696581	Yes	
row_29	RAB22A	n/a	4723	0.47474706172943115	0.21897224	No	
row_30	TOM1L1	n/a	4933	0.4602396488189697	0.21667911	No	
row_31	LAMP2	n/a	5200	0.4434010684490204	0.21095149	No	
row_32	ARFGAP3	n/a	5743	0.408755898475647	0.18951903	No	
row_33	ICA1	n/a	5970	0.3935156762599945	0.18498406	No	
row_34	M6PR	n/a	6330	0.3659910261631012	0.17266746	No	
row_35	GBF1	n/a	6357	0.363869845867157	0.17843245	No	
row_36	BET1	n/a	6820	0.3290538191795349	0.15978125	No	
row_37	ATP6V1H	n/a	7300	0.2918352782726288	0.13947041	No	
row_38	OCRL	n/a	7307	0.2910657823085785	0.1448873	No	
row_39	STX16	n/a	7363	0.2863580286502838	0.14754447	No	
row_40	SCRN1	n/a	7514	0.2731156051158905	0.14477	No	
row_41	TMED10	n/a	7687	0.2599054276943207	0.1405375	No	
row_42	SNAP23	n/a	7711	0.25698786973953247	0.14435671	No	
row_43	ARFGEF2	n/a	7712	0.25692087411880493	0.14942639	No	
row_44	SOD1	n/a	8332	0.202839657664299	0.119739994	No	
row_45	RAB5A	n/a	8676	0.17333634197711945	0.10449266	No	
row_46	AP1G1	n/a	8688	0.17249023914337158	0.10729763	No	
row_47	AP2B1	n/a	8877	0.15518571436405182	0.10012797	No	
row_48	ZW10	n/a	9422	0.10499154031276703	0.07259265	No	
row_49	MAPK1	n/a	9501	0.09859485924243927	0.07029304	No	
row_50	ARCN1	n/a	9572	0.09277746826410294	0.06831403	No	
row_51	SCAMP1	n/a	10125	0.04274681583046913	0.039115075	No	
row_52	SH3GL2	n/a	10199	0.03537346422672272	0.035840075	No	
row_53	BNIP3	n/a	10225	0.03247354179620743	0.035120238	No	
row_54	CLCN3	n/a	10237	0.0316309779882431	0.03514572	No	
row_55	TSG101	n/a	10349	0.020492756739258766	0.029508946	No	
row_56	GLA	n/a	10364	0.018784940242767334	0.029117672	No	
row_57	ADAM10	n/a	11071	-0.054021064192056656	-0.008240221	No	
row_58	RER1	n/a	11352	-0.08282345533370972	-0.02184484	No	
row_59	CTSC	n/a	11796	-0.13450023531913757	-0.043300983	No	
row_60	ARFIP1	n/a	12245	-0.18449148535728455	-0.0640428	No	
row_61	IGF2R	n/a	12400	-0.19977760314941406	-0.068482116	No	
row_62	VAMP4	n/a	12407	-0.20175516605377197	-0.06482755	No	
row_63	RAB9A	n/a	12422	-0.20357190072536469	-0.06157253	No	
row_64	AP3B1	n/a	12544	-0.2208242118358612	-0.06380053	No	
