NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS2	n/a	337	1.1669511795043945	0.023141772	No	
row_1	SRXN1	n/a	628	1.0093722343444824	0.04323966	No	
row_2	PRDX4	n/a	1141	0.8744478821754456	0.046496727	No	
row_3	NDUFB4	n/a	1193	0.8608169555664062	0.07429288	No	
row_4	HMOX2	n/a	1528	0.800596296787262	0.084589586	No	
row_5	PFKP	n/a	2102	0.7205145955085754	0.07906997	No	
row_6	PRDX1	n/a	2492	0.6736170649528503	0.08187272	No	
row_7	GSR	n/a	2570	0.6655274629592896	0.10132358	No	
row_8	TXN	n/a	2639	0.6575691103935242	0.12098039	No	
row_9	ABCC1	n/a	3468	0.5750895738601685	0.09645588	No	
row_10	TXNRD2	n/a	3678	0.5556298494338989	0.10483973	No	
row_11	PRDX2	n/a	3917	0.5345630645751953	0.11090145	No	
row_12	CDKN2D	n/a	4119	0.5199624300003052	0.11845312	No	
row_13	GLRX2	n/a	4273	0.5079089999198914	0.12818226	No	
row_14	ERCC2	n/a	4840	0.465562105178833	0.11399019	No	
row_15	ATOX1	n/a	5704	0.4116043448448181	0.081761114	No	
row_16	TXNRD1	n/a	5913	0.39725831151008606	0.084576055	No	
row_17	NDUFA6	n/a	6153	0.3794897794723511	0.08507742	No	
row_18	SBNO2	n/a	7690	0.25982779264450073	0.010928906	No	
row_19	SOD1	n/a	8332	0.202839657664299	-0.016662471	No	
row_20	EGLN2	n/a	9102	0.13444292545318604	-0.0536302	No	
row_21	IPCEF1	n/a	9913	0.06379939615726471	-0.0953317	No	
row_22	GLRX	n/a	11033	-0.050300829112529755	-0.154285	No	
row_23	STK25	n/a	11446	-0.09377828985452652	-0.17331862	No	
row_24	PRDX6	n/a	12079	-0.16607125103473663	-0.20172699	No	
row_25	MPO	n/a	12631	-0.2317577749490738	-0.22340639	No	
row_26	GCLM	n/a	12922	-0.26381978392601013	-0.22978032	No	
row_27	G6PD	n/a	12944	-0.2668161392211914	-0.22144654	No	
row_28	NQO1	n/a	13854	-0.3755376935005188	-0.25745308	No	
row_29	JUNB	n/a	14009	-0.3940247595310211	-0.25182185	No	
row_30	OXSR1	n/a	14380	-0.4422130882740021	-0.25620407	No	
row_31	LSP1	n/a	14986	-0.5313976407051086	-0.2701755	Yes	
row_32	PRNP	n/a	15344	-0.5867006778717041	-0.26872188	Yes	
row_33	FTL	n/a	15460	-0.6032525300979614	-0.2535448	Yes	
row_34	PDLIM1	n/a	15485	-0.6079046130180359	-0.23326308	Yes	
row_35	HHEX	n/a	16544	-0.804875373840332	-0.26211312	Yes	
row_36	MGST1	n/a	16700	-0.8396288752555847	-0.24071442	Yes	
row_37	GCLC	n/a	17101	-0.9347964525222778	-0.22923523	Yes	
row_38	FES	n/a	17377	-1.0149719715118408	-0.20812431	Yes	
row_39	CAT	n/a	17580	-1.0836423635482788	-0.18061273	Yes	
row_40	GPX4	n/a	17683	-1.1161022186279297	-0.14652063	Yes	
row_41	SOD2	n/a	17916	-1.2088863849639893	-0.116190486	Yes	
row_42	GPX3	n/a	17961	-1.2297461032867432	-0.07491507	Yes	
row_43	MSRA	n/a	18090	-1.3007711172103882	-0.035677325	Yes	
row_44	MBP	n/a	18347	-1.5796242952346802	0.006513623	Yes	
