NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC20A1	n/a	448	1.100609302520752	0.015668258	No	
row_1	PPP1CA	n/a	563	1.0427511930465698	0.04737225	No	
row_2	TGIF1	n/a	1811	0.7572281360626221	0.007170693	No	
row_3	SERPINE1	n/a	2164	0.7119702100753784	0.013928726	No	
row_4	RAB31	n/a	2600	0.6619247198104858	0.014360601	No	
row_5	SKIL	n/a	3059	0.6146101355552673	0.011823953	No	
row_6	TGFB1	n/a	3839	0.5408762097358704	-0.01082467	No	
row_7	CDH1	n/a	4259	0.5088726878166199	-0.015086001	No	
row_8	HDAC1	n/a	4353	0.501994788646698	-0.0018933628	No	
row_9	NCOR2	n/a	4406	0.4982430338859558	0.013389498	No	
row_10	ARID4B	n/a	5553	0.42135369777679443	-0.033533216	No	
row_11	FKBP1A	n/a	6926	0.3207521438598633	-0.096385196	No	
row_12	PMEPA1	n/a	7013	0.3144436180591583	-0.089628264	No	
row_13	MAP3K7	n/a	7331	0.2891328036785126	-0.09633596	No	
row_14	THBS1	n/a	7441	0.2795242965221405	-0.092097096	No	
row_15	SMAD1	n/a	7475	0.2762802541255951	-0.08384883	No	
row_16	CTNNB1	n/a	7906	0.24259069561958313	-0.09838456	No	
row_17	FURIN	n/a	8008	0.2326684296131134	-0.09541404	No	
row_18	WWTR1	n/a	8635	0.17712773382663727	-0.12297287	No	
row_19	TRIM33	n/a	8971	0.14661619067192078	-0.13583732	No	
row_20	NOG	n/a	9163	0.12698791921138763	-0.14159496	No	
row_21	SMURF1	n/a	10054	0.05079030245542526	-0.18808196	No	
row_22	XIAP	n/a	11010	-0.047623950988054276	-0.23821396	No	
row_23	SMURF2	n/a	11103	-0.05691056698560715	-0.24114196	No	
row_24	FNTA	n/a	11237	-0.0697287991642952	-0.24583068	No	
row_25	IFNGR2	n/a	11895	-0.1454003006219864	-0.276226	No	
row_26	LEFTY2	n/a	12069	-0.1651582568883896	-0.27961898	No	
row_27	TGFBR1	n/a	12635	-0.23216532170772552	-0.30186498	No	
row_28	PPP1R15A	n/a	12941	-0.26618143916130066	-0.30875507	No	
row_29	UBE2D3	n/a	12952	-0.26777175068855286	-0.29956695	No	
row_30	ID2	n/a	13072	-0.28201964497566223	-0.29578048	No	
row_31	BMP2	n/a	13693	-0.3573628067970276	-0.3164635	Yes	
row_32	RHOA	n/a	13706	-0.3583120107650757	-0.30409363	Yes	
row_33	SMAD7	n/a	13898	-0.3801634907722473	-0.30065054	Yes	
row_34	JUNB	n/a	14009	-0.3940247595310211	-0.2923049	Yes	
row_35	BMPR1A	n/a	14392	-0.443899929523468	-0.29691806	Yes	
row_36	CDK9	n/a	14474	-0.4549965262413025	-0.28478172	Yes	
row_37	APC	n/a	14674	-0.4834025800228119	-0.27802125	Yes	
row_38	ID3	n/a	14833	-0.5078966617584229	-0.26814404	Yes	
row_39	TJP1	n/a	15369	-0.5903834104537964	-0.27574274	Yes	
row_40	KLF10	n/a	15437	-0.6005181074142456	-0.25755766	Yes	
row_41	LTBP2	n/a	15649	-0.6330589652061462	-0.24601015	Yes	
row_42	SMAD6	n/a	15925	-0.6822934746742249	-0.236149	Yes	
row_43	BCAR3	n/a	15946	-0.6865912675857544	-0.2122835	Yes	
row_44	ACVR1	n/a	16005	-0.6965405941009521	-0.1901201	Yes	
row_45	PPM1A	n/a	16096	-0.7137384414672852	-0.1690695	Yes	
row_46	BMPR2	n/a	16195	-0.7323810458183289	-0.14777586	Yes	
row_47	ID1	n/a	16645	-0.8274937868118286	-0.14208728	Yes	
row_48	SMAD3	n/a	16729	-0.846213161945343	-0.11584223	Yes	
row_49	HIPK2	n/a	17224	-0.9668481945991516	-0.10753313	Yes	
row_50	SKI	n/a	17697	-1.1213692426681519	-0.092413776	Yes	
row_51	SPTBN1	n/a	17845	-1.1837822198867798	-0.05737665	Yes	
row_52	ENG	n/a	17923	-1.2113962173461914	-0.017534535	Yes	
row_53	CDKN1C	n/a	18080	-1.2939233779907227	0.02101651	Yes	
