NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD80	n/a	70	1.5686249732971191	0.0134997945	No	
row_1	TNFRSF9	n/a	167	1.3393503427505493	0.02304342	No	
row_2	CXCL10	n/a	257	1.2316824197769165	0.031780597	No	
row_3	RIPK2	n/a	444	1.1019351482391357	0.033775292	No	
row_4	CXCL11	n/a	465	1.0947208404541016	0.04477572	No	
row_5	INHBA	n/a	529	1.0571807622909546	0.053007927	No	
row_6	ICOSLG	n/a	680	0.9878960847854614	0.055712998	No	
row_7	IL12B	n/a	941	0.9159117341041565	0.051602278	No	
row_8	IL18	n/a	1127	0.8765361309051514	0.05116138	No	
row_9	PLAU	n/a	1452	0.8142474889755249	0.042424597	No	
row_10	PLAUR	n/a	1522	0.8019720911979675	0.047508735	No	
row_11	CCL20	n/a	1589	0.7915040850639343	0.05264141	No	
row_12	TGIF1	n/a	1811	0.7572281360626221	0.048912	No	
row_13	YRDC	n/a	1872	0.7499366998672485	0.053913806	No	
row_14	OLR1	n/a	1938	0.7413776516914368	0.05854739	No	
row_15	IL23A	n/a	2054	0.7273329496383667	0.060289223	No	
row_16	TAP1	n/a	2159	0.7126846313476562	0.06247126	No	
row_17	SERPINE1	n/a	2164	0.7119702100753784	0.07011856	No	
row_18	IER3	n/a	2312	0.6940106749534607	0.069740824	No	
row_19	PHLDA2	n/a	2476	0.6750895977020264	0.06827833	No	
row_20	B4GALT1	n/a	2680	0.6526462435722351	0.06437861	No	
row_21	SAT1	n/a	3088	0.6112961769104004	0.048856795	No	
row_22	PANX1	n/a	3138	0.6056287884712219	0.052866258	No	
row_23	NFKBIE	n/a	3175	0.6018868684768677	0.05754589	No	
row_24	SPHK1	n/a	3351	0.5857737064361572	0.05443981	No	
row_25	NFKB2	n/a	3446	0.5780107378959656	0.055681214	No	
row_26	EFNA1	n/a	3484	0.5737066268920898	0.05999476	No	
row_27	CCL5	n/a	3721	0.550784707069397	0.05316348	No	
row_28	ZBTB10	n/a	4400	0.49895069003105164	0.021568166	No	
