NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH18A1	n/a	34	1.7875880002975464	0.031463858	Yes	
row_1	PARN	n/a	42	1.7283979654312134	0.063295014	Yes	
row_2	BANF1	n/a	159	1.3463369607925415	0.08206948	Yes	
row_3	NOP56	n/a	328	1.1731501817703247	0.0947843	Yes	
row_4	YWHAZ	n/a	338	1.1662684679031372	0.11603005	Yes	
row_5	NHP2	n/a	387	1.1319438219070435	0.13451214	Yes	
row_6	LSM4	n/a	458	1.096400260925293	0.15113367	Yes	
row_7	DKC1	n/a	469	1.0927964448928833	0.17095566	Yes	
row_8	NPM1	n/a	565	1.0422871112823486	0.18520717	Yes	
row_9	SLC7A5	n/a	711	0.9801065921783447	0.1955768	Yes	
row_10	CHAC1	n/a	759	0.9663673639297485	0.21102749	Yes	
row_11	SHC1	n/a	802	0.953842282295227	0.22651704	Yes	
row_12	CALR	n/a	812	0.9488061666488647	0.24370992	Yes	
row_13	EXOSC5	n/a	954	0.9110503792762756	0.2530104	Yes	
row_14	NOLC1	n/a	1105	0.8821949362754822	0.26128292	Yes	
row_15	HSP90B1	n/a	1121	0.8786661624908447	0.27684182	Yes	
row_16	EXOSC4	n/a	1227	0.8542945981025696	0.2870451	Yes	
row_17	KDELR3	n/a	1397	0.822780966758728	0.29317558	Yes	
row_18	SRPRB	n/a	1405	0.8220391273498535	0.3081148	Yes	
row_19	ASNS	n/a	1476	0.8105284571647644	0.3194085	Yes	
row_20	POP4	n/a	1545	0.7980905771255493	0.33057934	Yes	
row_21	YIF1A	n/a	1742	0.7655110955238342	0.33417204	Yes	
row_22	EIF4A3	n/a	1790	0.7598026394844055	0.34577295	Yes	
row_23	DDIT4	n/a	1995	0.733296275138855	0.34832957	Yes	
row_24	FUS	n/a	2062	0.72630774974823	0.3582715	Yes	
row_25	EIF2AK3	n/a	2105	0.7202203273773193	0.369407	Yes	
row_26	XPOT	n/a	2173	0.7107888460159302	0.37900522	Yes	
row_27	RRP9	n/a	2395	0.684078574180603	0.37971875	Yes	
row_28	KHSRP	n/a	2528	0.6697834730148315	0.38501284	Yes	
row_29	DDX10	n/a	2551	0.6679694056510925	0.39626375	Yes	
row_30	MTHFD2	n/a	2583	0.6642309427261353	0.40695485	Yes	
row_31	ARFGAP1	n/a	2643	0.6569320559501648	0.41598502	Yes	
row_32	ATF6	n/a	3197	0.5996981859207153	0.3970451	Yes	
row_33	PDIA6	n/a	3207	0.5989009141921997	0.40771678	Yes	
row_34	SERP1	n/a	3272	0.5925871729850769	0.41527542	Yes	
row_35	CKS1B	n/a	3302	0.5900972485542297	0.4246938	Yes	
row_36	SEC31A	n/a	3849	0.5400371551513672	0.40502322	Yes	
row_37	EIF4A1	n/a	3920	0.5344315767288208	0.4111713	Yes	
row_38	PDIA5	n/a	3952	0.5328192710876465	0.41941324	Yes	
row_39	CNOT6	n/a	4014	0.5282139182090759	0.42593554	Yes	
row_40	EDC4	n/a	4032	0.5266031622886658	0.43482408	Yes	
row_41	EXOSC1	n/a	4086	0.5223652124404907	0.44167307	Yes	
row_42	PAIP1	n/a	4198	0.5143029093742371	0.4452131	Yes	
row_43	NFYA	n/a	4214	0.5130825042724609	0.4539586	Yes	
row_44	HYOU1	n/a	4506	0.49043235182762146	0.4472509	Yes	
row_45	PSAT1	n/a	4564	0.48564985394477844	0.45319778	Yes	
row_46	HSPA5	n/a	4779	0.4704906940460205	0.45031187	Yes	
row_47	SPCS1	n/a	5316	0.4369881749153137	0.42926535	Yes	
row_48	TATDN2	n/a	5394	0.43223270773887634	0.4331275	Yes	
row_49	EIF4EBP1	n/a	5460	0.4282000660896301	0.437568	Yes	
row_50	VEGFA	n/a	5464	0.4280463755130768	0.44538218	Yes	
row_51	CEBPG	n/a	5631	0.41632765531539917	0.44410092	Yes	
row_52	PREB	n/a	5654	0.414946585893631	0.4506362	Yes	
row_53	DNAJA4	n/a	5736	0.40924301743507385	0.45385203	Yes	
row_54	LSM1	n/a	5741	0.40880656242370605	0.46125317	Yes	
row_55	ATF4	n/a	5987	0.39216354489326477	0.4552192	Yes	
row_56	EIF4G1	n/a	6095	0.38412681221961975	0.45655096	Yes	
row_57	IMP3	n/a	6103	0.3833644986152649	0.46331456	Yes	
row_58	EXOSC2	n/a	6292	0.36932945251464844	0.45995927	Yes	
