NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLCN2	n/a	40	1.7342609167099	0.019322967	Yes	
row_1	POLR2H	n/a	108	1.4515775442123413	0.03366641	Yes	
row_2	MAPK8IP2	n/a	161	1.34605872631073	0.04752018	Yes	
row_3	MMP14	n/a	230	1.26233971118927	0.059462287	Yes	
row_4	ATP6V1F	n/a	302	1.1933445930480957	0.07038502	Yes	
row_5	FEN1	n/a	332	1.1701562404632568	0.083313	Yes	
row_6	EIF2S3	n/a	495	1.0788482427597046	0.08784807	Yes	
row_7	KCNH2	n/a	575	1.0394647121429443	0.096425794	Yes	
row_8	CDK2	n/a	689	0.9848436117172241	0.10247007	Yes	
row_9	STIP1	n/a	704	0.9820767045021057	0.11388455	Yes	
row_10	CASP3	n/a	754	0.9675831198692322	0.123208605	Yes	
row_11	TFRC	n/a	782	0.9597585201263428	0.13363664	Yes	
row_12	BAK1	n/a	840	0.9407063126564026	0.14219067	Yes	
row_13	RFC4	n/a	857	0.9352493286132812	0.15291525	Yes	
row_14	E2F5	n/a	983	0.9047266840934753	0.1573109	Yes	
row_15	ENO2	n/a	1019	0.8982932567596436	0.16653997	Yes	
row_16	RPN1	n/a	1050	0.8926565647125244	0.17597209	Yes	
row_17	FKBP4	n/a	1102	0.8826033473014832	0.18413313	Yes	
row_18	PDAP1	n/a	1131	0.8753908276557922	0.19346032	Yes	
row_19	PPAT	n/a	1170	0.8674211502075195	0.20214278	Yes	
row_20	RASGRP1	n/a	1250	0.8493978977203369	0.20836347	Yes	
row_21	NPTX2	n/a	1273	0.8453493714332581	0.21764566	Yes	
row_22	PPT1	n/a	1472	0.8107980489730835	0.21689135	Yes	
row_23	ASNS	n/a	1476	0.8105284571647644	0.22677897	Yes	
row_24	HNRNPU	n/a	1650	0.7801631093025208	0.22700952	Yes	
row_25	ALDOA	n/a	1704	0.7716196775436401	0.23368506	Yes	
row_26	CCNE1	n/a	1754	0.7637917399406433	0.2404819	Yes	
row_27	GGH	n/a	2038	0.7288668751716614	0.23407131	Yes	
row_28	DNAJA1	n/a	2129	0.7170326709747314	0.23805004	Yes	
row_29	YKT6	n/a	2147	0.7141377925872803	0.24597804	Yes	
row_30	TAP1	n/a	2159	0.7126846313476562	0.25421557	Yes	
row_31	GAL	n/a	2248	0.7023680210113525	0.2581216	Yes	
row_32	AP2S1	n/a	2550	0.6679747700691223	0.24997327	Yes	
row_33	TUBA4A	n/a	2578	0.6649466156959534	0.25674534	Yes	
row_34	MARK2	n/a	2648	0.6566296815872192	0.26112142	Yes	
row_35	SIGMAR1	n/a	2710	0.6494855284690857	0.26584566	Yes	
row_36	MRPL23	n/a	2763	0.6435726881027222	0.27098787	Yes	
row_37	SLC6A8	n/a	2779	0.6416075229644775	0.27812558	Yes	
row_38	POLE3	n/a	2810	0.6368565559387207	0.28438553	Yes	
row_39	LHX2	n/a	2903	0.6285089254379272	0.2871573	Yes	
row_40	PRPF3	n/a	3161	0.6031869649887085	0.28060752	No	
row_41	EPCAM	n/a	3233	0.5961477756500244	0.2841244	No	
row_42	TACR3	n/a	3372	0.5844720602035522	0.28383887	No	
row_43	STARD3	n/a	4017	0.5278753638267517	0.2552284	No	
row_44	CHRNA5	n/a	4171	0.5162490010261536	0.25327796	No	
row_45	BID	n/a	4208	0.5138065218925476	0.2576844	No	
row_46	COL2A1	n/a	4266	0.5084124207496643	0.26087755	No	
row_47	PSMC3	n/a	4391	0.4993084967136383	0.2603002	No	
row_48	NPTXR	n/a	4527	0.4886193573474884	0.25898978	No	
row_49	HSPA13	n/a	5047	0.4518169164657593	0.23625998	No	
row_50	SLC6A12	n/a	5110	0.4478115439414978	0.23842865	No	
row_51	GLS	n/a	5206	0.4431906044483185	0.2387385	No	
row_52	ATP6V1C1	n/a	5403	0.4317089021205902	0.23339228	No	
row_53	CEBPG	n/a	5631	0.41632765531539917	0.226163	No	
row_54	POLG2	n/a	5843	0.40166404843330383	0.21962531	No	
row_55	IGFBP2	n/a	5995	0.3916685879230499	0.21623915	No	
row_56	DDX21	n/a	6080	0.384956955909729	0.21642736	No	
row_57	HTR7	n/a	6218	0.37357646226882935	0.2135811	No	
row_58	SPR	n/a	6321	0.36684149503707886	0.21256202	No	
row_59	NAT1	n/a	6520	0.352953165769577	0.20612995	No	
row_60	AMD1	n/a	6547	0.35054507851600647	0.2090577	No	
row_61	GCH1	n/a	6599	0.34589430689811707	0.210563	No	
row_62	PTPRD	n/a	6616	0.3442765772342682	0.21395893	No	
row_63	DLG4	n/a	6628	0.3436456620693207	0.21761999	No	
row_64	BTG3	n/a	6669	0.3399089276790619	0.21965156	No	
row_65	BCL2L11	n/a	7233	0.2975170612335205	0.19260627	No	
row_66	CDC34	n/a	7291	0.2930164337158203	0.19312829	No	
row_67	ICAM1	n/a	7321	0.29007092118263245	0.19514233	No	
row_68	RET	n/a	7439	0.27958258986473083	0.19222227	No	
row_69	GRINA	n/a	7520	0.27270397543907166	0.1912368	No	
row_70	CCK	n/a	7612	0.26486682891845703	0.18955362	No	
row_71	FURIN	n/a	8008	0.2326684296131134	0.17087546	No	
row_72	BSG	n/a	8042	0.22984574735164642	0.17192428	No	
row_73	CLTB	n/a	8056	0.22838254272937775	0.17404677	No	
row_74	ONECUT1	n/a	8287	0.20658570528030396	0.16405268	No	
row_75	KLHDC3	n/a	8475	0.19017334282398224	0.1562025	No	
row_76	HSPA2	n/a	8558	0.18394605815410614	0.15400714	No	
row_77	TMBIM6	n/a	8575	0.1831662803888321	0.15540513	No	
row_78	CNP	n/a	8772	0.1652359813451767	0.14675437	No	
row_79	PRKCD	n/a	8903	0.15290561318397522	0.14155371	No	
row_80	CYB5R1	n/a	9090	0.13539151847362518	0.13307875	No	
row_81	CDC5L	n/a	9123	0.13137921690940857	0.13296108	No	
row_82	WIZ	n/a	9150	0.12837183475494385	0.13313365	No	
row_83	TCHH	n/a	9255	0.1189805418252945	0.12893166	No	
row_84	PARP2	n/a	9652	0.08636119961738586	0.10838454	No	
row_85	LYN	n/a	9759	0.07807955890893936	0.10356615	No	
row_86	NXF1	n/a	9771	0.07697008550167084	0.103920154	No	
row_87	IRF1	n/a	9950	0.060463130474090576	0.09495274	No	
row_88	TGFBRAP1	n/a	10019	0.05376284942030907	0.091907255	No	
row_89	OLFM1	n/a	10037	0.05232623592019081	0.09162811	No	
row_90	PPP1R2	n/a	10085	0.04725469648838043	0.089648336	No	
row_91	BTG1	n/a	10197	0.035783421248197556	0.08403247	No	
row_92	CA2	n/a	10316	0.023806914687156677	0.07788595	No	
row_93	ATF3	n/a	10643	-0.009122325107455254	0.06020237	No	
row_94	ARRB2	n/a	10807	-0.025713108479976654	0.05162289	No	
row_95	CHKA	n/a	10892	-0.03532952442765236	0.047475357	No	
row_96	RAB27A	n/a	10931	-0.03941476717591286	0.04588968	No	
row_97	CYB5B	n/a	10996	-0.046950504183769226	0.04297808	No	
row_98	PPIF	n/a	11110	-0.057974908500909805	0.037528235	No	
row_99	CREG1	n/a	11228	-0.06882157176733017	0.031994533	No	
row_100	STK25	n/a	11446	-0.09377828985452652	0.021311209	No	
row_101	CCND3	n/a	11648	-0.11664507538080215	0.011784912	No	
row_102	NR4A1	n/a	11678	-0.11965591460466385	0.011685626	No	
row_103	GRPEL1	n/a	11742	-0.12823696434497833	0.009836655	No	
row_104	PRKACA	n/a	11774	-0.13242876529693604	0.0097865835	No	
row_105	ALAS1	n/a	11872	-0.1432613581418991	0.0062678326	No	
row_106	DNAJB1	n/a	12068	-0.16483855247497559	-0.0023332676	No	
row_107	HMOX1	n/a	12329	-0.1934410035610199	-0.014128091	No	
row_108	SQSTM1	n/a	12338	-0.194022536277771	-0.012158741	No	
row_109	AQP3	n/a	12438	-0.20537486672401428	-0.015016403	No	
row_110	FMO1	n/a	12537	-0.21946638822555542	-0.017644724	No	
row_111	APOM	n/a	12580	-0.22506070137023926	-0.017146569	No	
row_112	CDKN2B	n/a	12744	-0.24392107129096985	-0.023020048	No	
row_113	BTG2	n/a	12766	-0.24616634845733643	-0.021113748	No	
row_114	EIF5	n/a	12845	-0.25428885221481323	-0.022218412	No	
row_115	ACAA1	n/a	12881	-0.2599427402019501	-0.020905545	No	
row_116	PLCL1	n/a	12936	-0.2649023234844208	-0.020568404	No	
row_117	FGF18	n/a	13121	-0.28888437151908875	-0.027030708	No	
row_118	NFKBIA	n/a	13155	-0.2939642071723938	-0.025186757	No	
row_119	RXRB	n/a	13175	-0.2967837452888489	-0.022543566	No	
row_120	SHOX2	n/a	13556	-0.34046149253845215	-0.039066117	No	
row_121	BMP2	n/a	13693	-0.3573628067970276	-0.042058844	No	
row_122	HYAL2	n/a	13896	-0.3800542652606964	-0.04837319	No	
row_123	JUNB	n/a	14009	-0.3940247595310211	-0.04960108	No	
row_124	TST	n/a	14368	-0.4401925504207611	-0.063685864	No	
row_125	RHOB	n/a	14425	-0.4476241171360016	-0.06119197	No	
row_126	SLC25A4	n/a	14811	-0.5053691864013672	-0.07594245	No	
row_127	SULT1A1	n/a	14996	-0.5336390733718872	-0.079369545	No	
row_128	CYP1A1	n/a	15661	-0.633897066116333	-0.10775707	No	
row_129	FOSB	n/a	15673	-0.6351189613342285	-0.10048145	No	
row_130	DGAT1	n/a	15801	-0.6609673500061035	-0.09921785	No	
row_131	PDLIM3	n/a	15949	-0.6873820424079895	-0.0987185	No	
row_132	MGAT1	n/a	16188	-0.7310159206390381	-0.102645844	No	
row_133	IL6ST	n/a	16351	-0.7685251235961914	-0.1019591	No	
row_134	C4BPB	n/a	16354	-0.768847644329071	-0.09253379	No	
row_135	IL6	n/a	16711	-0.84210205078125	-0.1015253	No	
row_136	NTRK3	n/a	16930	-0.8939895629882812	-0.102339774	No	
row_137	EPHX1	n/a	17074	-0.9296178817749023	-0.09861809	No	
row_138	CDO1	n/a	17102	-0.9348077178001404	-0.08849948	No	
row_139	TYRO3	n/a	17176	-0.9557419419288635	-0.08063245	No	
row_140	CXCL2	n/a	17245	-0.9724718928337097	-0.072285	No	
row_141	UROD	n/a	17610	-1.0929080247879028	-0.078602985	No	
row_142	RRAD	n/a	17690	-1.1188310384750366	-0.069041036	No	
row_143	MSX1	n/a	17805	-1.1629148721694946	-0.060843084	No	
row_144	SOD2	n/a	17916	-1.2088863849639893	-0.051856678	No	
row_145	MAOA	n/a	17943	-1.222229242324829	-0.038119156	No	
row_146	FOS	n/a	17953	-1.2274614572525024	-0.023388697	No	
row_147	GPX3	n/a	17961	-1.2297461032867432	-0.008520722	No	
row_148	CDKN1C	n/a	18080	-1.2939233779907227	0.0010835005	No	
row_149	ABCB1	n/a	18356	-1.6118133068084717	0.0060590785	No	
