NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	197		
HALLMARK_HYPOXIA	200	189		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	72		
HALLMARK_MITOTIC_SPINDLE	199	196		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	42		
HALLMARK_TGF_BETA_SIGNALING	54	54		
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	87		
HALLMARK_DNA_REPAIR	150	139		
HALLMARK_G2M_CHECKPOINT	200	183		
HALLMARK_APOPTOSIS	161	158		
HALLMARK_NOTCH_SIGNALING	32	32		
HALLMARK_ADIPOGENESIS	200	189		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	192		
HALLMARK_ESTROGEN_RESPONSE_LATE	200	195		
HALLMARK_ANDROGEN_RESPONSE	100	95		
HALLMARK_MYOGENESIS	200	195		
HALLMARK_PROTEIN_SECRETION	96	94		
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	91		
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	190		
HALLMARK_APICAL_JUNCTION	200	192		
HALLMARK_APICAL_SURFACE	44	43		
HALLMARK_HEDGEHOG_SIGNALING	36	34		
HALLMARK_COMPLEMENT	200	194		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	106		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	102		
HALLMARK_MTORC1_SIGNALING	200	192		
HALLMARK_E2F_TARGETS	200	187		
HALLMARK_MYC_TARGETS_V1	200	188		
HALLMARK_MYC_TARGETS_V2	58	58		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	194		
HALLMARK_INFLAMMATORY_RESPONSE	200	197		
HALLMARK_XENOBIOTIC_METABOLISM	200	195		
HALLMARK_FATTY_ACID_METABOLISM	158	152		
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	182		
HALLMARK_GLYCOLYSIS	200	195		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	45		
HALLMARK_P53_PATHWAY	200	190		
HALLMARK_UV_RESPONSE_UP	158	150		
HALLMARK_UV_RESPONSE_DN	144	137		
HALLMARK_ANGIOGENESIS	36	35		
HALLMARK_HEME_METABOLISM	200	187		
HALLMARK_COAGULATION	138	130		
HALLMARK_IL2_STAT5_SIGNALING	199	194		
HALLMARK_BILE_ACID_METABOLISM	112	111		
HALLMARK_PEROXISOME	104	101		
HALLMARK_ALLOGRAFT_REJECTION	200	184		
HALLMARK_SPERMATOGENESIS	135	120		
HALLMARK_KRAS_SIGNALING_UP	200	192		
HALLMARK_KRAS_SIGNALING_DN	200	179		
HALLMARK_PANCREAS_BETA_CELLS	40	34		
