NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	187	0.6518367	3.5255532	0.0	0.0	0.0	3523	tags=66%, list=19%, signal=81%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	183	0.601439	3.228025	0.0	0.0	0.0	3527	tags=60%, list=19%, signal=73%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	188	0.59745437	3.2236338	0.0	0.0	0.0	4234	tags=63%, list=23%, signal=81%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	0.6874097	2.9582007	0.0	0.0	0.0	4037	tags=76%, list=22%, signal=97%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	106	0.46817958	2.317539	0.0	0.0	0.0	6392	tags=58%, list=35%, signal=88%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	192	0.41603982	2.277066	0.0	0.0	0.0	3698	tags=39%, list=20%, signal=48%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	139	0.40071777	2.0500214	0.0	2.1428571E-4	0.002	4987	tags=47%, list=27%, signal=65%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	195	0.3212732	1.7390827	0.0	0.0016129552	0.015	3669	tags=36%, list=20%, signal=44%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	196	0.2926169	1.6039795	0.0	0.0067968694	0.065	2789	tags=29%, list=15%, signal=34%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	150	0.2871573	1.5195571	0.0	0.014079892	0.141	2903	tags=27%, list=16%, signal=31%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	120	0.26138285	1.329431	0.051522247	0.07460006	0.622	3646	tags=28%, list=20%, signal=35%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	102	0.26926744	1.3234853	0.06377551	0.07186648	0.642	2587	tags=24%, list=14%, signal=27%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	194	0.23238133	1.2483948	0.070680626	0.120969445	0.851	2788	tags=25%, list=15%, signal=29%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	43	0.30097303	1.223183	0.15617716	0.13669716	0.898	3890	tags=30%, list=21%, signal=38%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	94	0.22696581	1.098321	0.2542373	0.3031011	0.998	4403	tags=31%, list=24%, signal=40%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	72	0.20600785	0.9324039	0.59569895	0.6998325	1.0	2527	tags=17%, list=14%, signal=19%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	184	0.1603772	0.8592768	0.8316062	0.8434215	1.0	3220	tags=19%, list=17%, signal=23%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	91	0.1585903	0.75429434	0.9146919	0.94558245	1.0	4704	tags=29%, list=25%, signal=38%	
