NAME	TITLE	SCORE	
GPRC5A	n/a	2.7442484	
TRIB3	n/a	2.6320722	
MORN3	n/a	2.6193337	
MAZ	n/a	2.564585	
MFAP2	n/a	2.5617244	
BGN	n/a	2.4818013	
LMTK3	n/a	2.289191	
CAMK2A	n/a	2.2532883	
ZNF469	n/a	2.2345037	
MFSD6L	n/a	2.0704594	
SCAMP5	n/a	2.0442162	
RUSC1	n/a	1.9799767	
ARSI	n/a	1.9444642	
TIMM17B	n/a	1.9211928	
SNRNP25	n/a	1.9195534	
NOTUM	n/a	1.884136	
ADAMTS14	n/a	1.8838528	
HIST2H3D	n/a	1.871327	
ADM2	n/a	1.8681281	
THOC3	n/a	1.8673736	
MRPL24	n/a	1.8656551	
HSD17B6	n/a	1.8647138	
NUAK2	n/a	1.863007	
DCTPP1	n/a	1.8574859	
PARP1	n/a	1.8556619	
ZNF239	n/a	1.8531531	
RIMKLA	n/a	1.8485926	
AP3B2	n/a	1.8372599	
XIRP1	n/a	1.8358942	
SCAMP3	n/a	1.8337737	
EIF2AK1	n/a	1.8249644	
F12	n/a	1.8229026	
LAGE3	n/a	1.8170463	
CABLES2	n/a	1.8041097	
ALDH18A1	n/a	1.787588	
SOX12	n/a	1.7613277	
APOA1BP	n/a	1.7578844	
ZNF213	n/a	1.7566798	
ZFP64	n/a	1.7449934	
TFB2M	n/a	1.738684	
CLCN2	n/a	1.7342609	
KIAA0895	n/a	1.7328322	
PARN	n/a	1.728398	
TRIM59	n/a	1.7277951	
SMS	n/a	1.7276887	
LOC388152	n/a	1.7012134	
CD276	n/a	1.6977881	
POLR3K	n/a	1.691227	
SHROOM2	n/a	1.6842617	
RNF187	n/a	1.6809102	
CSTF2	n/a	1.678351	
XKRX	n/a	1.6636214	
UTS2	n/a	1.6579496	
FBXL19	n/a	1.64936	
HSPB1	n/a	1.6406615	
RPL26L1	n/a	1.6384743	
TARS2	n/a	1.636036	
KDM5B	n/a	1.632347	
DNASE1	n/a	1.6309748	
CXCR4	n/a	1.6293905	
DPCD	n/a	1.6275905	
MAL2	n/a	1.6271987	
FAM108C1	n/a	1.6253432	
RXFP1	n/a	1.605095	
ATG9B	n/a	1.6047	
C16orf13	n/a	1.6043584	
KCTD13	n/a	1.5987165	
LOC728554	n/a	1.5936401	
ARF1	n/a	1.5814319	
NKD2	n/a	1.5690749	
CD80	n/a	1.568625	
ORC5L	n/a	1.5626662	
FOXD4L1	n/a	1.5608664	
KIF22	n/a	1.5561217	
PPP4C	n/a	1.555554	
HEATR2	n/a	1.547523	
PTOV1	n/a	1.5434039	
UMODL1	n/a	1.5373083	
PHKA1	n/a	1.5345353	
EPRS	n/a	1.5309362	
ESRP1	n/a	1.5307302	
LINGO3	n/a	1.5301386	
BOLA2	n/a	1.5290844	
SMYD3	n/a	1.5225765	
KCTD5	n/a	1.5212486	
COPB2	n/a	1.518129	
ARF5	n/a	1.5178944	
PRAF2	n/a	1.5128734	
C1orf35	n/a	1.512163	
GTF2IRD1	n/a	1.4985075	
BRSK1	n/a	1.4951707	
ADAM19	n/a	1.491315	
LOC92659	n/a	1.478046	
COL10A1	n/a	1.4766405	
APLP1	n/a	1.4763457	
C20orf111	n/a	1.473639	
TMEM106C	n/a	1.4725393	
PMS2L5	n/a	1.4713436	
UNC5B	n/a	1.4711695	
C3orf67	n/a	1.4676669	
POP7	n/a	1.4669384	
LOC148709	n/a	1.4666717	
SULF2	n/a	1.4660611	
TOP2A	n/a	1.4653136	
SLC12A8	n/a	1.4621203	
C1QTNF6	n/a	1.4614006	
P4HA3	n/a	1.4584615	
NCOA5	n/a	1.4538488	
POLR2H	n/a	1.4515775	
SULF1	n/a	1.4487177	
MRPS34	n/a	1.4481639	
ADAR	n/a	1.4477539	
C11orf31	n/a	1.4475784	
CKMT1B	n/a	1.446908	
COPZ1	n/a	1.4467744	
KIAA1024	n/a	1.442078	
PPCDC	n/a	1.4360976	
PMM2	n/a	1.4358312	
TRIM46	n/a	1.4289683	
C7orf70	n/a	1.427888	
TBC1D10B	n/a	1.4275385	
POSTN	n/a	1.423645	
TMEM145	n/a	1.4226826	
CKAP4	n/a	1.4222488	
HSF2BP	n/a	1.41769	
DIRC1	n/a	1.4130534	
TRMT12	n/a	1.4120277	
E2F7	n/a	1.4049075	
GRIN2D	n/a	1.4027712	
ALG1L	n/a	1.4012827	
RAG1AP1	n/a	1.4006479	
PRSS8	n/a	1.3975918	
RANBP17	n/a	1.3974593	
TMEM79	n/a	1.3964999	
C5orf13	n/a	1.3954186	
FHAD1	n/a	1.3939238	
ISYNA1	n/a	1.3887185	
LOC550643	n/a	1.3870813	
DNAJA3	n/a	1.3829253	
TBL2	n/a	1.3811303	
MCM4	n/a	1.3807093	
RANGAP1	n/a	1.3803859	
IRF2BP2	n/a	1.3796637	
MICAL2	n/a	1.3772283	
CNPY2	n/a	1.3717173	
PNCK	n/a	1.3703983	
NTHL1	n/a	1.3689145	
C7orf47	n/a	1.3682443	
SNX27	n/a	1.3666334	
XPO6	n/a	1.3649648	
RPUSD1	n/a	1.3644677	
POC1A	n/a	1.3607391	
TNNI3	n/a	1.3544437	
AMMECR1	n/a	1.3515038	
NRSN2	n/a	1.351406	
LRRC61	n/a	1.3498436	
LYSMD1	n/a	1.349836	
DIABLO	n/a	1.348109	
MMP13	n/a	1.3465728	
BANF1	n/a	1.346337	
UFC1	n/a	1.3462352	
MAPK8IP2	n/a	1.3460587	
SRP9	n/a	1.345963	
SLC35C2	n/a	1.3434926	
ALG3	n/a	1.3427932	
RABL5	n/a	1.3413496	
CDH2	n/a	1.3400021	
TNFRSF9	n/a	1.3393503	
IQCE	n/a	1.33919	
CDC6	n/a	1.3377349	
RPGRIP1L	n/a	1.3348311	
TOR3A	n/a	1.3343909	
PHKG2	n/a	1.3339872	
CXorf50B	n/a	1.33122	
CHCHD2	n/a	1.3268458	
LRWD1	n/a	1.3243772	
GAL3ST2	n/a	1.3242303	
CASK	n/a	1.323661	
TMED3	n/a	1.3231846	
COL1A1	n/a	1.3217965	
CST4	n/a	1.3210896	
IARS	n/a	1.320498	
NOMO3	n/a	1.3153099	
SHMT2	n/a	1.3148636	
TPI1	n/a	1.314701	
MOSPD1	n/a	1.3138685	
C12orf52	n/a	1.3094575	
BCL9	n/a	1.3075911	
SMO	n/a	1.3066938	
CTPS2	n/a	1.3058468	
FAM194A	n/a	1.3051021	
C8orf76	n/a	1.3050696	
TRAF7	n/a	1.3043969	
PDCD6	n/a	1.301821	
TIGD3	n/a	1.3012828	
CTHRC1	n/a	1.2975771	
TDRKH	n/a	1.2961684	
PRR19	n/a	1.2960174	
KRTCAP3	n/a	1.2958624	
SMARCB1	n/a	1.2941918	
C16orf59	n/a	1.293295	
NDE1	n/a	1.2909857	
PAFAH1B3	n/a	1.2877557	
MLST8	n/a	1.2872567	
PCDH17	n/a	1.2872436	
TLCD1	n/a	1.2868297	
GRM4	n/a	1.2843847	
METTL1	n/a	1.2834762	
C11orf84	n/a	1.2830603	
PRR7	n/a	1.2816985	
TMEM41A	n/a	1.2805889	
ENAH	n/a	1.2798902	
STX6	n/a	1.2798308	
PIP5K1A	n/a	1.2781974	
TMEM183A	n/a	1.2774848	
PES1	n/a	1.2770233	
SULT4A1	n/a	1.2768508	
MEPCE	n/a	1.2752609	
TMEM9	n/a	1.2741021	
HM13	n/a	1.2730602	
LXN	n/a	1.272299	
PYGO2	n/a	1.2720034	
PPAPDC1A	n/a	1.2713768	
HMGA2	n/a	1.2711084	
CFL1	n/a	1.2694565	
COL5A1	n/a	1.2691736	
CAPS	n/a	1.2670746	
FAM189B	n/a	1.2653629	
TMED2	n/a	1.2651136	
NKAP	n/a	1.2642576	
MMP14	n/a	1.2623397	
ATP6V0B	n/a	1.2609807	
ISG20L2	n/a	1.2598736	
MCM2	n/a	1.259381	
C8orf51	n/a	1.2593384	
C20orf151	n/a	1.2573695	
THNSL1	n/a	1.2554216	
SLC22A15	n/a	1.2542958	
CD101	n/a	1.2532126	
CETN2	n/a	1.2528535	
ELL3	n/a	1.252668	
SSR4	n/a	1.2511917	
TSGA14	n/a	1.2484756	
ACOT7	n/a	1.2480173	
COX17	n/a	1.247471	
FAM163A	n/a	1.2468221	
SHCBP1	n/a	1.243788	
SLC6A7	n/a	1.2406839	
CHST11	n/a	1.2403417	
R3HDML	n/a	1.2383367	
OVOL1	n/a	1.2374169	
PTK7	n/a	1.2363039	
