Normal-1	Normal-2	Normal-3	Normal-4	Normal-5	Tumour-1	Tumour-2	Tumour-3	Tumour-4	Tumour-5
A1BG	103.725493065683	188.019271656533	47.9340460980308	186.835144285305	82.5050068498947	364.80958468213	213.60786989243	256.103630411451	352.183547161519	149.291688682518
A2M	92254.3964916465	95597.8289183957	113692.86887298	60209.2483311697	113003.257648648	22426.2482841978	355808.102037544	38844.5728656548	45483.3028829179	35680.7135951218
NAT1	304.104286488026	997.071895148283	217.375325328279	4372.23092476151	254.115421097676	1363.82660119627	426.295016207737	168.546833689588	30482.9711181729	451.584176325381
NAT2	8.25089149386116	27.0633800111677	0	317.403333920981	6.60040054799158	0	5.52434146273525	13.1335195082795	4.95037114484063	85.3095363900103
SERPINA3	5521.02510817795	15092.8197157017	245.243956780623	62122.3247892571	4655.48251985006	64589.2563452136	75994.6826085404	45318.3035232776	55701.5761217468	28714.0772157941
AADAC	676.573102496615	15.6682726380444	1189.43319038602	77.9080910533317	826.150135256946	7.85743720853818	15.6523008110832	0	0	1.85455513891327
AAMP	4822.05672876943	4448.36504078298	4025.34512697649	5403.07038879124	5064.70735382554	8042.64822845372	3150.71608091334	6149.7705097519	4206.40108135887	3879.72935060656
AANAT	0	0	0	0	0	1.12249102979117	0	1.0944599590233	0	0
AARS	7248.99752674945	5714.6463476213	6884.66671398693	6413.71145884418	8142.69414270561	13767.3524803887	7340.92908039803	9959.58562711199	4649.81289676102	27587.4349689043
ABAT	1004.25136468139	1878.76832814369	1323.20262135727	5468.71516921581	1025.26221845469	6722.59877741931	229.260170703513	318.487848075779	3242.49309987061	5317.93686083379
ABCA1	8853.20657291303	2619.4503073967	19722.0731061944	1965.73655666971	12846.5795999076	1524.34281845641	1204.30643887629	1664.67359767443	1650.59517886543	3885.29301602329
ABCA2	3140.05356280659	2657.90879478099	4917.14133345148	3067.27039961821	4002.04286559889	4312.61053645767	615.964073094981	2075.09608230817	4405.12312303033	2822.63292142599
ABCA3	2814.73269819149	1868.79760919221	3155.84382566338	10741.2173683714	3040.58451910812	10411.1043013131	1448.29818681376	2754.75571686164	3722.67910092016	6295.28741904109
ABCB7	1238.81242286401	1075.41325833851	2298.60472218929	1257.35002505516	1781.00808119973	985.547124156646	1254.94623561802	1512.54366337019	1378.3247658992	1925.02823419197
ABCF1	3758.87042484618	3535.33206251148	3105.68028904916	3692.69924168523	3496.01215691954	3202.4669079942	7639.24351938573	4839.70193880101	2572.77860356146	5210.37266277682
ABCA4	186.234408004295	210.80948640278	79.1469133246555	587.196167753815	188.11141561776	12.3474013277029	708.036430807235	58.0063778282347	36.0669897695532	70.4730952787042
ABL1	9776.12772144064	7096.30311661249	6208.01634232403	5825.07254866346	7237.33920087276	5384.58946990824	3240.02626789423	5224.95184437721	6550.75541637982	4763.42487429873
ABP1	15.323084202885	21.3658263246061	0	2.16411364037032	14.3008678539817	17.9598564766587	48.7983495874947	3.28337987706989	7.07195877834376	892.968299386738
ABL2	4793.76795793333	2516.89434103859	3219.38430537472	2416.5935650802	2493.85134038282	4156.5842833167	7056.42549506716	3627.0403042032	3775.0115958799	2468.41288989356
ABO	24.7526744815835	28.4877684328081	26.7538861942497	20.9197651902465	27.5016689499649	21.3273295660322	11.969406502593	4.37783983609318	89.1066806071314	2.7818327083699
ABR	5010.6485343434	4553.76978398437	5406.51450175464	5321.55544167063	4896.39713985175	6013.18444659129	1437.24950388829	3856.87689559809	5533.80774405399	4366.55007457129
ACAA1	3125.90917738854	3065.28388337015	3344.23577428122	5665.64951048951	4157.15227847669	2369.57856388916	841.541349490004	3946.622612238	5335.08570238253	3253.81699122333
ACACA	4508.52285200271	4553.76978398437	19339.7154826683	20908.2232508312	14455.9772668596	9503.00905821203	4471.95441408419	7535.35681787539	2150.58266449434	24831.5660324792
ACACB	21508.8954257112	6294.37243522895	111920.423912611	1519.92914675342	62477.1914537723	774.518810555906	491.666390183437	241.875650944148	627.282743639091	3446.69072567031
ACADL	747.295029586854	294.848403279564	2372.17790922348	690.352251278133	1577.49573096999	8.97992823832935	660.158804796863	0	529.689712497948	0.927277569456634
ACADM	3338.07495865926	3521.08817829508	11967.9050908944	10389.9095874179	7526.65675822639	1914.96969682373	1797.2524225432	1931.72182767612	2878.28722278591	2031.66515467948
ACADS	2962.07004629616	1435.78352901353	4230.45825446574	701.894190693442	5307.82210734323	840.745781313585	58.9263089358427	516.585100658996	730.53334180291	1607.8993054378
ACADSB	4686.50636851314	5149.16414423006	8110.88649789005	7715.06512792021	5329.8234425032	13799.9047202526	508.239414571643	904.023926153242	4760.13545370318	2904.23334753818
ACADVL	16528.8930597736	11625.858297429	19476.8291494138	14572.4198830403	20083.9188007804	8809.30960180109	3202.2766012322	12317.0523788482	8209.83694577927	7722.36759843484
ACAT1	6343.7568599944	4612.16970927163	16469.2464430769	2355.27701193637	12398.8524294022	1481.68815932434	1772.39288596089	2844.50143350155	4470.89233966893	3270.50798747355
ACAT2	574.026308215769	923.003697222982	1094.67984344805	2964.83568730734	973.559080828757	800.336104241103	7392.48960071689	1984.25590570924	526.153733108776	855.877196608473
ACCN1	11.7869878483731	27.0633800111677	1.11474525809374	110.369795658887	8.80053406398877	387.259405277953	6.44506503985779	0	7.07195877834376	0
ACCN2	154.409540813687	196.565602186376	283.14529555581	123.354477501108	352.021362559551	94.2892465024582	439.185146287453	358.982866559641	197.307649915791	149.291688682518
ACHE	48.3266501783297	71.2194210820202	13.3769430971249	49.7746137285175	46.202803835941	80.8193541449641	11.0486829254705	89.7457166399103	62.9404331272595	321.765316601452
ACLY	8145.98730201064	7228.77123982505	8259.14761721651	20274.1379542027	7854.47665210998	18014.8585371185	8124.46484452931	33404.01240935	7129.24164444834	9523.14063831963
ACO1	14377.7677774455	6055.07518039336	33918.3539680182	3052.84297534907	27933.9951858584	3538.09172590176	1861.70307294178	2921.11363063318	2328.08882983077	3384.56312851671
ACR	20.0378793422342	31.3365452760889	25.639140936156	3.60685606728387	11.000667579986	4.48996411916467	6.44506503985779	6.56675975413977	13.4367216788531	13.9091635418495
ACO2	6961.39502324915	5703.25124024818	15190.6336320434	7075.9302327975	13310.807771783	13337.4384159787	4341.21166613279	7225.6246494718	4347.84025692574	9253.30286560775
ACOX1	7868.99308757387	5451.13448961783	14182.9039187266	4820.92381953163	11278.9844697596	5039.98472376235	4366.99192629222	11186.4752411771	2406.58757227038	2954.30633628883
ACP1	2441.08518339807	3069.55704863507	2942.92748136747	3548.42499899387	2969.08017983821	2817.45248477583	7732.23660067511	7118.36757348752	2684.51555225929	4692.95177902002
ACP2	2221.84720941833	2452.79686206478	2332.0470799321	2956.17923274586	2329.94139344103	3037.4607266149	1648.09520304935	1956.89440673365	2571.36421180579	1775.73654550945
ACP5	2208.88152278512	1759.1197007259	682.224097953368	3697.02746896597	1167.17083023651	7213.12735743805	449.313105635801	1321.01317054112	1749.60260176225	7837.35001704747
ACPP	48.3266501783297	131.043734790917	20.0654146456873	283.498886888512	26.4016021919663	26.939784714988	991.619292560978	86.4623367628404	84.1563094622907	18.5455513891327
ACRV1	0	0	2.22949051618748	2.16411364037032	3.30020027399579	3.36747308937351	6.44506503985779	6.56675975413977	0	0
ACTA1	80.151517368937	915.88175511478	2.22949051618748	19.4770227633329	165.010013699789	2.24498205958234	11.969406502593	108.351535943306	176.798969458594	22.2546616669592
ACTA2	33813.3320406279	60425.4056228292	15490.5001064706	45175.8722427305	27537.9711529789	16130.1960980991	7687.1211453961	28465.8090742369	35813.8136452885	24532.9826551142
ACTB	211810.99293648	210875.008270175	128758.651036117	176999.969161035	152703.566878059	160927.048977041	486962.413427918	444880.461983625	310524.052390052	218911.688597322
ACTC1	15.323084202885	31.3365452760889	75.8026775503743	4.32822728074065	12.1007343379846	0	2.76217073136763	25.1725790575358	0	1.85455513891327
ACTG1	118492.231442125	130727.520561313	69383.9743542705	135660.349031468	85818.4079249865	110016.468320862	164904.354833379	397971.908139887	176880.296984545	163405.780567217
ACTG2	11419.2338275038	22858.5853904852	897.36993276546	16597.3088792135	10750.9524259203	541.040676359343	19484.3523390672	2187.82545808757	3001.33930552909	207.710175558286
ACTN4	28682.4562302311	26265.7224950491	16603.0158740482	24876.4862960569	18658.2322824142	28083.6030743452	30323.1102889538	58505.4515695493	18191.1995655337	25829.3166972145
ACTL6A	1773.94167118015	1928.62192290111	1494.8733911037	2262.9414966139	1503.79125818408	2353.86368947208	13509.7770471191	4331.8725178142	3427.07122398539	3057.23414649852
ACTN1	22049.9181679515	17424.5435619271	9483.13791060344	21840.9562298308	18702.2349527341	12150.9653974894	25430.3852001246	32427.7541259012	16950.0707999343	16492.5588503557
ACTN2	14.1443854180477	19.9414379029657	22.2949051618748	0.721371213456775	17.6010681279775	4.48996411916467	348.033512152321	10.944599590233	2.12158763350313	187.31006903024
ACTN3	9.42959027869847	0	4.45898103237496	1.44274242691355	1.1000667579986	4.48996411916467	0.920723577122542	1.0944599590233	0	3.70911027782653
ACVR1	3121.19438224919	2538.2601673632	3296.30172818319	3379.62413504499	4035.04486833885	2450.39791803412	2024.67114609247	2712.07177845973	2606.72400569751	2573.19525524216
ACVR1B	2522.41539955184	2798.92324852339	2129.16344295904	2826.33241432364	2029.62316850741	3420.23016777369	1602.97974777035	3376.40897358687	3785.61953404741	3054.45231379015
ACVR2A	1264.74379613043	1259.15936473012	1572.90555917027	1355.45651008528	1777.70788092573	575.83789828287	2164.6211298151	1260.81787279484	893.188393704817	952.314063831963
ACVR2B	391.327996565986	609.638244462093	1062.35223096333	735.077266512453	1074.76522256463	605.02266505744	792.742999902509	588.819457954533	1210.01214697462	1005.16888529099
ACVRL1	3836.66454464544	3880.03406054846	3886.00196971478	809.378501498501	3721.52584230925	718.394259066348	848.907138106984	1296.93505144261	1210.01214697462	1264.80660473885
ACY1	1197.55796539471	1504.15417325227	2949.61595291603	2353.112898296	2304.63985800706	1164.02319789344	1209.83078033902	2621.23160186079	2395.27243822503	1598.62652974324
ACYP1	108.440288205032	113.951073731232	108.130290035093	132.732303276047	117.70714310585	97.6567195918317	587.421642204182	164.168993853494	160.533464268403	62.1275971535945
ACYP2	632.961247457635	497.111559152501	694.4862957924	362.849720368758	662.240188315155	182.96603785596	794.584447056754	199.19171254224	278.635175866744	321.765316601452
ADA	397.221490490173	296.272791701204	400.193547655652	105.320197164689	732.644460827065	374.91200395025	1170.23966652275	1233.45637381925	193.771670526619	242.946723197638
ADAM8	127.299468762429	310.516675917608	31.2128672266247	278.449288394315	69.3042057539115	537.67320326997	185.065439001631	1304.59627115577	467.456475248523	1818.39131370446
ADAM10	4305.78666101069	4404.20899971213	3789.01913226062	5587.74141943618	3351.90341162172	3563.90901958696	2298.12604849787	3736.48630010553	4595.35881416777	6584.59802071156
