id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CA4	CA4	703.665815666144	-8.72148173157758	0.603211424887184	-14.4584160242136	2.21844532392461e-47	3.82149391499253e-43
ATP1A2	ATP1A2	5049.65296242487	-7.47694817053049	0.713608732732414	-10.4776578923035	1.09419945487453e-25	6.28289326988956e-22
LEP	LEP	13342.2259674228	-7.43355985942878	0.920981667973341	-8.07134399948117	6.95285176678014e-16	4.99040935560644e-13
MYOC	MYOC	905.985098364436	-7.28555362826201	0.913652859060893	-7.97409383225762	1.53502887493015e-15	1.01701566921334e-12
CIDEC	CIDEC	15578.1131308749	-7.10653726769448	0.93511515078153	-7.59963867739191	2.96958705281183e-14	1.27145158390226e-11
C12orf39	C12orf39	542.119411420607	-7.10567759325151	1.06272925213443	-6.68625388731908	2.28955680689162e-11	4.41216854618982e-09
HEPACAM	HEPACAM	638.194600355902	-7.09941328156311	0.934478367970027	-7.5971938194623	3.02621124695185e-14	1.27145158390226e-11
PCK1	PCK1	5937.74625934387	-7.06134258119335	0.96140176264222	-7.34484047729085	2.0600464630006e-13	6.69553969276382e-11
CPA1	CPA1	89.095368280067	-6.99721327585742	0.900221946731779	-7.77276459573168	7.67913737147213e-15	4.13377563628059e-12
AQPEP	AQPEP	1292.16061085753	-6.90057083090182	0.873661916162824	-7.89844527183873	2.82403725980011e-15	1.62156219457722e-12
C14orf180	C14orf180	1156.34410365808	-6.83614083126909	0.941678967435966	-7.25952375243418	3.88455579030818e-13	1.15371306972153e-10
AQP7	AQP7	5637.28349469958	-6.79615003503807	0.890488982104263	-7.63193051415244	2.31264085491544e-14	1.07669057748036e-11
HBB	HBB	7420.39267851048	-6.67303582760785	0.685768560625636	-9.73074038494846	2.22964130905074e-22	9.60195029742701e-19
RBP4	RBP4	11265.9161690641	-6.62144604957792	0.893805059407483	-7.40815458570728	1.28068971686067e-13	4.24253097358497e-11
CIDEA	CIDEA	4805.93357394956	-6.5890778138365	1.00684205487232	-6.54430134493349	5.97741610505125e-11	9.99679318695271e-09
ADH1A	ADH1A	1129.92850942301	-6.55023737265043	0.99092236601415	-6.61024273677247	3.83690360833247e-11	6.95731595338265e-09
PLIN4	PLIN4	91666.7135608378	-6.51462206946973	0.909408202420275	-7.16358402324928	7.85946524715599e-13	2.21946144831982e-10
PTCHD3	PTCHD3	100.370791138625	-6.46320667590406	1.05680504182703	-6.11579848704193	9.60746689915683e-10	1.06088605644151e-07
GPD1	GPD1	33986.1887615127	-6.41503933061343	0.970808634548201	-6.60793394529179	3.89720492983943e-11	6.99304709598063e-09
PLIN1	PLIN1	58736.2079377629	-6.39310904570006	0.944241203835275	-6.77063129604262	1.28221660824086e-11	2.72684732019223e-09
