NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNNI3	n/a	152	1.3544436693191528	0.014023393	Yes	
row_1	PHKG2	n/a	172	1.3339872360229492	0.034958616	Yes	
row_2	NEK2	n/a	270	1.2194442749023438	0.049756173	Yes	
row_3	LDHC	n/a	618	1.0138581991195679	0.047542267	Yes	
row_4	MAST2	n/a	732	0.9759112000465393	0.057456806	Yes	
row_5	RPL39L	n/a	743	0.9700749516487122	0.07288892	Yes	
row_6	EZH2	n/a	804	0.9523425102233887	0.08530388	Yes	
row_7	RFC4	n/a	857	0.9352493286132812	0.09787333	Yes	
row_8	AURKA	n/a	925	0.9190773367881775	0.10935891	Yes	
row_9	MLF1	n/a	948	0.912190318107605	0.12318363	Yes	
row_10	NCAPH	n/a	987	0.9036561250686646	0.13599578	Yes	
row_11	BUB1	n/a	1018	0.8984374403953552	0.14915797	Yes	
row_12	KIF2C	n/a	1083	0.8869832158088684	0.16027845	Yes	
row_13	PCSK1N	n/a	1192	0.8610103726387024	0.1685731	Yes	
row_14	CDK1	n/a	1243	0.8507335782051086	0.17985958	Yes	
row_15	TOPBP1	n/a	1598	0.7902020812034607	0.17358054	Yes	
row_16	CCNB2	n/a	1798	0.7594457864761353	0.17524274	Yes	
row_17	MAP7	n/a	1876	0.7493199706077576	0.18338738	Yes	
row_18	STRBP	n/a	1963	0.736952543258667	0.19083783	Yes	
row_19	COIL	n/a	1973	0.7356699705123901	0.20246379	Yes	
row_20	CLPB	n/a	1998	0.7329058051109314	0.2132267	Yes	
row_21	ART3	n/a	2075	0.7235884666442871	0.22100206	Yes	
row_22	DBF4	n/a	2195	0.7081598043441772	0.22617972	Yes	
row_23	NEFH	n/a	2257	0.700908899307251	0.23439908	Yes	
row_24	DMRT1	n/a	2264	0.6999994516372681	0.24560106	Yes	
row_25	CAMK4	n/a	2346	0.6899813413619995	0.2525504	Yes	
row_26	OAZ3	n/a	2737	0.6458714008331299	0.24193217	Yes	
row_27	GRM8	n/a	2808	0.6371071338653564	0.24861018	Yes	
row_28	CDKN3	n/a	3070	0.6135572195053101	0.24449047	Yes	
row_29	CNIH2	n/a	3111	0.6090126037597656	0.25234085	Yes	
row_30	TTK	n/a	3225	0.5971176028251648	0.25601664	Yes	
row_31	IL13RA2	n/a	3370	0.5845587849617004	0.25779605	Yes	
row_32	PSMG1	n/a	3559	0.565689206123352	0.2568666	Yes	
row_33	PGK2	n/a	3646	0.5587980151176453	0.26138285	Yes	
row_34	CCNA1	n/a	4430	0.4964900016784668	0.2268851	No	
row_35	NF2	n/a	4492	0.4912932515144348	0.23165207	No	
row_36	SCG5	n/a	4734	0.4741051495075226	0.22632563	No	
row_37	IL12RB2	n/a	4797	0.46932876110076904	0.23067635	No	
row_38	GAD1	n/a	5021	0.45350924134254456	0.22599174	No	
row_39	HSPA1L	n/a	5798	0.4053090512752533	0.19037373	No	
row_40	IDE	n/a	5994	0.3917541205883026	0.18619807	No	
row_41	MTNR1A	n/a	6165	0.3787252902984619	0.18317035	No	
row_42	TEKT2	n/a	6193	0.3761287331581116	0.18789364	No	
row_43	SCG3	n/a	6311	0.3675094246864319	0.1875698	No	
row_44	ACRV1	n/a	6315	0.3673308789730072	0.19345623	No	
row_45	TNP1	n/a	6424	0.3598262369632721	0.19349636	No	
row_46	CFTR	n/a	6672	0.3398171067237854	0.1856312	No	
row_47	VDAC3	n/a	6702	0.338570237159729	0.18962689	No	
row_48	MEP1B	n/a	6852	0.32706841826438904	0.18689293	No	
row_49	PGS1	n/a	7021	0.31387048959732056	0.18290606	No	
row_50	MLLT10	n/a	7042	0.31208696961402893	0.1869561	No	
row_51	TSN	n/a	7092	0.30772048234939575	0.18935366	No	
row_52	GFI1	n/a	7589	0.267329603433609	0.16672365	No	
row_53	GAPDHS	n/a	7607	0.2655263841152191	0.17017034	No	
row_54	PEBP1	n/a	7827	0.24907991290092468	0.16233678	No	
row_55	BRAF	n/a	8041	0.2299320548772812	0.15451486	No	
row_56	DCC	n/a	8265	0.20887182652950287	0.14580107	No	
row_57	IFT88	n/a	8314	0.20402437448501587	0.14654526	No	
row_58	CLGN	n/a	8353	0.2009078711271286	0.14778315	No	
row_59	HOXB1	n/a	8400	0.19673514366149902	0.14851628	No	
row_60	HSPA2	n/a	8558	0.18394605815410614	0.14298908	No	
row_61	THEG	n/a	8565	0.1836985945701599	0.14568758	No	
row_62	CHFR	n/a	8998	0.14436005055904388	0.12452039	No	
row_63	ACRBP	n/a	9112	0.13311900198459625	0.12055415	No	
row_64	PIAS2	n/a	9194	0.12469358742237091	0.1181932	No	
row_65	DMC1	n/a	9603	0.09114588052034378	0.09745762	No	
row_66	PARP2	n/a	9652	0.08636119961738586	0.0962639	No	
row_67	ZC3H14	n/a	9781	0.07633882015943527	0.09054496	No	
row_68	HTR5A	n/a	10012	0.05429228022694588	0.07890373	No	
row_69	HSPA4L	n/a	10132	0.04172798991203308	0.07310527	No	
row_70	GSTM3	n/a	10437	0.011895913630723953	0.056732632	No	
row_71	POMC	n/a	10718	-0.01639634557068348	0.04174216	No	
row_72	YBX2	n/a	10777	-0.0215262770652771	0.03893559	No	
row_73	CCT6B	n/a	10814	-0.026326877996325493	0.037407126	No	
